,Children,Age,Income,MonthlyCharge,Bandwidth_GB_Year,Gender_Male,Gender_Nonbinary,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,StreamingTV_Yes,StreamingMovies_Yes
111,1,47,55861.19,137.439154,704.9375603,1,0,0,0,1,0,1,0,1,0
112,1,48,9044.26,192.470522,888.6517305,0,0,1,1,1,0,1,1,0,1
113,0,63,25381.66,159.951231,377.0810282,0,0,1,0,1,0,1,0,0,1
114,1,40,65064.31,112.455141,1606.489936,1,0,0,0,1,0,1,0,0,0
115,0,67,12527.51,174.961766,1431.409396,1,0,0,0,1,0,1,0,1,0
116,0,56,35499.06,162.452604,2253.85247,0,0,0,0,1,0,1,0,1,0
117,6,24,26282.4,137.483594,1353.29384,0,0,1,1,0,0,1,1,0,0
118,2,79,51237.28,275.133571,1701.457566,0,0,0,1,1,0,1,1,1,1
119,3,61,64222.21,127.442069,1290.737183,1,0,1,0,0,0,1,0,0,1
120,0,38,11014.98,210.138,1403.270091,1,0,0,0,0,1,1,0,1,1
121,4,28,21172.49,147.456419,2603.903672,0,0,0,0,0,0,1,1,0,0
122,3,44,26130.78,242.657291,1256.287854,1,0,1,1,0,1,1,1,1,1
123,1,65,36478.21,114.983787,980.9935923,1,0,0,1,0,1,1,0,0,0
124,3,35,54533.63,187.656013,1347.869205,0,0,1,1,0,1,1,0,1,1
125,2,31,37103.18,149.991327,1127.267848,0,0,1,0,0,1,1,1,1,0
126,2,34,74679.84,124.960655,1269.836202,1,0,1,1,0,0,1,1,0,0
127,2,68,95028.57,220.161527,1038.745378,1,0,1,1,0,1,1,1,1,1
128,0,62,34281.1,172.48852,1531.155367,1,0,0,0,0,0,0,1,0,0
129,0,52,36240.81,120.004928,991.2441024,1,0,1,1,0,0,1,0,0,0
130,5,32,9515.64,220.161527,1244.296865,1,0,0,0,0,1,1,1,1,1
132,8,66,12995.68,159.951231,577.1157824,0,0,1,0,1,0,1,0,0,1
133,1,70,77531.43,184.949594,1442.974877,0,0,1,0,0,0,1,1,1,0
134,3,41,87354.99,252.637807,1577.208717,1,0,1,0,1,0,1,1,1,1
135,2,59,76567.85,112.455141,886.9398744,1,0,1,0,1,0,1,0,0,0
136,1,46,30663.52,179.979358,1065.06443,1,0,0,0,1,0,1,1,0,0
138,1,89,31600.92,197.472533,1404.435534,1,0,0,0,0,0,1,1,1,0
139,4,75,74638.78,255.155493,1925.911722,0,0,0,0,1,0,0,1,1,1
140,0,26,32652.3,174.976769,1805.011298,0,0,0,1,0,0,1,1,1,0
141,4,25,63650.54,169.992756,700.7343179,0,0,1,0,1,0,1,1,0,0
142,1,84,28622.6,192.440432,513.237305,0,0,0,0,1,0,1,1,1,0
143,3,69,50252.79,182.460772,717.3876564,1,0,0,1,1,0,1,0,0,1
144,3,31,19800.81,139.965008,1313.492851,1,0,0,1,0,0,1,0,0,1
145,10,76,35954.77,137.461553,819.4195269,1,0,0,0,0,1,1,0,0,1
146,8,75,36342.31,217.472533,882.1160656,1,0,0,0,1,0,1,1,1,0
147,1,74,48715.53,210.138,724.7803356,0,1,1,1,0,1,1,0,1,1
148,1,49,23204.98,104.964303,1829.270014,1,0,0,0,0,0,0,0,0,0
149,1,47,35302.52,262.610632,1668.199119,1,0,0,0,1,0,1,1,1,1
150,4,20,54895.16,152.488401,1124.353152,0,0,1,1,0,1,1,0,0,1
151,2,26,60398.06,174.974431,1316.239744,0,0,0,0,0,0,1,1,0,1
152,2,72,8115.88,220.118516,1637.201426,0,0,0,0,1,0,1,0,1,1
153,1,41,33858.66,162.452604,951.8524406,1,0,0,1,1,0,1,0,1,0
154,3,26,29950.47,184.961033,1248.097652,0,0,1,1,0,0,1,1,0,1
155,4,55,49421.69,217.483972,2220.255405,1,0,1,0,1,0,1,1,0,1
156,1,46,11061.05,220.118516,1669.202417,0,0,1,0,1,0,1,0,1,1
157,0,87,15388.32,187.642236,990.0555076,0,0,1,0,0,1,1,0,1,1
158,1,39,20624.31,174.961766,967.9819136,1,0,0,1,1,0,1,0,1,0
159,0,81,47877.81,252.637807,2190.259876,1,0,0,0,1,0,1,1,1,1
160,0,83,46154.17,130.024412,1445.752781,1,0,1,0,0,1,1,0,0,0
162,3,87,10403.59,182.467607,1296.481055,0,0,1,0,1,0,1,1,1,0
163,3,76,22412.6,139.934918,1195.393037,0,0,1,0,0,0,1,0,1,0
164,6,25,19476.27,200.165175,1700.121992,0,0,0,0,0,1,1,0,1,1
165,3,34,96382.76,202.682861,2120.673828,1,0,1,0,0,1,1,0,1,1
166,1,46,28022.56,159.951231,1238.421347,0,0,1,0,1,0,1,0,0,1
167,1,73,35478.4,149.948316,847.110799,0,0,1,0,1,0,1,0,1,0
168,8,57,10155.51,149.959755,1112.937102,0,0,1,0,1,0,1,0,0,1
169,3,58,87537.25,137.469817,1623.045026,1,0,1,1,0,0,1,1,0,0
170,4,70,34112.1,187.656013,1479.730181,1,0,1,0,0,1,1,0,1,1
171,0,53,32653.51,164.985293,2144.735024,1,0,1,0,0,0,1,1,1,0
172,0,31,35321.46,159.965008,1522.289512,1,0,1,0,1,0,1,0,0,1
173,0,38,49277.48,172.462354,1974.780054,0,0,0,0,1,0,1,1,1,0
174,0,26,37297.82,204.949594,1261.177198,0,0,0,0,1,0,1,1,1,0
175,2,44,14928.96,147.473844,939.7181324,1,0,1,0,1,0,1,0,0,0
176,3,66,24702.68,162.471255,1357.062854,0,0,0,0,1,0,1,0,1,0
177,1,58,87535.71,119.95684,1456.887443,1,0,1,0,0,0,1,0,1,0
178,6,51,63166.87,207.609354,937.5863866,0,0,0,0,1,0,1,0,1,1
179,4,34,11856.81,194.999168,830.1193011,0,0,0,0,0,1,1,1,0,1
180,0,87,27326.79,174.975543,737.8564608,0,1,1,0,1,0,1,0,1,0
181,1,67,12779.23,240.114868,1781.854862,0,0,1,0,1,0,1,1,1,1
182,4,59,25519.91,240.114868,2464.577489,0,1,0,1,1,0,1,1,1,1
183,7,23,46871.21,139.983006,2392.203409,1,0,1,0,0,0,1,0,0,0
184,0,42,77383.72,240.114868,1664.19271,1,0,1,0,1,0,1,1,1,1
185,1,24,47395.3,209.993134,1433.616898,0,0,1,0,0,0,1,1,0,1
186,2,81,90977.74,147.456419,823.4933243,0,0,1,1,0,0,1,1,0,0
188,1,51,47726.25,152.502178,590.7765801,0,0,0,1,0,1,1,0,0,1
189,1,70,51721.64,79.978861,418.6206885,0,0,1,0,0,1,1,0,0,0
190,0,87,41531.03,142.482694,1181.991846,0,0,1,1,0,0,1,0,0,1
191,0,46,33504.8,117.439154,733.4036934,0,0,0,0,0,0,1,0,1,0
192,8,56,34197.3,220.132293,1719.173387,0,0,1,1,1,0,1,0,1,1
193,4,44,11518.58,152.455519,1205.956363,1,0,0,0,0,0,1,0,0,1
194,0,33,31065.17,174.961766,1261.032763,0,0,0,0,1,0,1,0,1,0
195,0,19,32097.17,202.443347,741.7766988,0,0,1,0,1,0,1,1,0,1
196,1,31,23424.88,210.12704,932.6084359,1,0,1,0,1,0,1,0,1,1
197,1,34,35988.24,139.979239,1708.614019,0,0,0,1,0,1,1,0,0,1
198,4,43,35539.7,139.965008,1363.58603,1,0,1,1,0,0,1,0,0,1
199,1,82,27959.34,137.439154,472.1057019,1,0,0,1,1,0,1,0,1,0
200,6,36,52232.97,102.474625,558.2340556,0,0,0,0,0,1,1,0,0,0
201,1,48,18198.59,252.637807,815.194738,1,0,1,1,1,0,1,1,1,1
202,0,52,16851.94,194.999168,2007.303617,1,0,1,1,0,1,1,1,0,1
203,1,35,16440.05,242.610632,2088.48083,0,1,1,0,0,0,1,1,1,1
204,3,83,44223.58,127.458638,1430.761492,0,0,1,0,0,1,1,0,1,0
205,0,20,33343.73,129.976324,822.3008694,1,0,0,1,0,1,1,0,1,0
206,0,25,30664.56,240.114868,2059.200998,0,0,0,0,1,0,1,1,1,1
207,0,88,31934.04,174.975543,617.542543,1,0,0,0,1,0,1,0,1,0
208,1,54,26676.4,169.944668,758.4775985,0,0,1,0,1,0,1,1,1,0
209,1,46,67211.95,162.511928,894.6733856,1,0,1,1,0,1,1,1,0,1
210,2,75,31136.77,119.95684,1639.898269,0,0,1,0,0,0,1,0,1,0
211,5,66,40660.84,137.439154,710.7541633,1,0,0,0,1,0,0,0,1,0
212,0,51,10606.59,207.46728,1092.226042,0,0,1,0,1,0,1,1,1,0
213,3,81,92447.71,149.974105,757.0097075,0,0,0,0,0,0,1,1,0,0
214,0,75,13612.16,225.178625,2301.850721,1,0,0,0,0,1,1,0,1,1
215,3,54,13765.39,232.637807,2401.406545,0,0,1,0,0,0,0,1,1,1
216,2,73,53019.98,117.472036,1535.788894,1,0,1,1,0,1,1,0,1,0
217,0,53,42523.02,137.469817,1536.589816,1,0,1,0,0,0,1,1,0,0
218,8,33,52143.7,220.132293,2153.778421,0,0,1,0,1,0,1,0,1,1
219,5,41,19097.94,124.960655,2409.195918,0,0,1,1,0,0,1,1,0,0
220,1,59,11301.4,199.990219,1342.862457,0,0,1,1,0,0,1,1,1,0
221,3,23,17814.0,159.947583,1046.054674,0,0,0,0,0,0,1,1,0,1
222,1,32,22533.05,245.145743,1204.479468,0,0,0,0,1,0,0,0,1,1
223,3,51,19974.4,255.155493,1616.908193,0,0,1,0,1,0,1,1,1,1
224,1,46,45146.99,134.950905,345.0099528,0,0,1,1,1,0,1,0,0,0
225,3,37,10330.1,159.947583,1427.088655,1,0,1,1,0,0,1,1,0,1
226,0,53,15281.28,139.987503,1452.334634,1,0,0,0,0,0,1,1,0,0
227,1,62,11217.96,179.947583,795.4957358,1,0,0,1,1,0,1,1,0,1
228,1,57,17516.0,127.473844,1333.894229,0,0,0,1,0,0,0,0,0,0
229,2,80,20566.64,232.637807,1402.20491,0,0,1,0,0,0,1,1,1,1
230,1,43,36128.68,195.006206,1447.196935,1,0,1,1,1,0,1,1,0,0
231,1,35,52129.84,267.642733,1662.510936,1,0,1,1,0,0,1,1,1,1
232,1,63,25985.06,149.959755,1707.641161,0,0,0,1,1,0,1,0,0,1
233,1,63,10909.79,220.114868,2181.752793,0,0,1,0,0,0,1,1,1,1
234,1,27,41151.14,157.483594,1575.683555,0,0,0,0,1,0,1,1,0,0
235,4,19,64063.23,127.474951,1029.489242,0,0,1,0,0,1,1,0,0,1
236,1,40,20414.07,139.981577,2370.184448,0,0,0,0,0,1,1,0,1,0
237,0,42,41412.1,255.133571,3309.919373,1,0,0,0,0,0,1,1,1,1
238,0,40,99195.08,194.966286,1623.273925,0,0,0,0,0,0,1,1,0,1
239,0,72,18408.94,179.965581,1146.199921,0,0,1,0,1,0,1,1,0,0
240,3,61,15930.45,174.976769,2229.268031,1,0,1,1,0,0,0,1,1,0
241,0,71,25611.29,187.609354,2512.36494,1,0,0,0,0,0,1,0,1,1
242,4,68,9428.86,169.937833,1297.388488,0,0,0,1,1,0,1,0,0,1
243,1,88,3810.16,115.002061,283.39178,0,0,1,0,0,1,1,1,0,0
245,1,63,51992.79,207.609354,849.1972541,0,0,0,0,1,0,1,0,1,1
246,0,53,79993.43,147.503078,2131.359827,0,0,1,0,0,1,1,1,0,0
247,0,41,37706.85,200.118516,1464.035068,1,0,1,0,0,0,1,0,1,1
248,2,63,22466.53,137.497825,1381.538548,1,0,0,0,0,1,1,1,0,0
249,4,56,16608.27,134.980139,1248.626874,0,0,0,0,0,1,1,1,0,0
250,2,27,25146.14,147.442069,558.3751762,1,0,0,1,1,0,1,0,0,1
251,2,47,58882.35,197.494455,676.2178659,1,0,0,0,1,0,1,1,1,0
252,4,42,31809.46,162.529926,1641.938696,0,0,0,0,0,1,1,1,0,0
253,0,72,27235.54,210.151777,1811.964373,0,0,0,0,0,1,1,0,1,1
254,3,58,70476.82,159.965581,1066.632555,1,0,0,0,0,0,1,1,0,0
255,0,33,49396.09,190.173699,1514.131966,1,0,0,0,0,1,0,0,1,1
256,6,87,35060.94,202.649979,1189.549671,0,0,0,0,0,0,1,0,1,1
257,0,34,66055.53,134.950905,1114.020282,0,0,1,0,1,0,1,0,0,0
258,7,76,91335.76,142.500692,1078.291303,1,0,0,0,0,0,1,0,0,0
259,3,38,54349.75,114.997564,854.2977548,0,1,0,1,0,1,1,0,0,0
260,0,47,75042.1,232.62403,1489.077486,0,0,1,1,0,0,1,1,1,1
261,7,84,91001.1,242.628057,1649.312808,1,0,1,0,1,0,1,0,1,1
262,4,19,44426.28,202.443347,905.1959227,1,0,1,1,1,0,0,1,0,1
263,0,87,63284.16,124.993537,684.6318529,0,0,0,0,0,1,1,1,0,0
264,3,75,14039.21,174.976769,1662.533055,1,0,0,0,0,0,1,1,1,0
265,0,37,12453.24,225.145743,2436.57146,1,0,1,0,0,0,0,0,1,1
266,1,52,15934.12,275.133571,2677.74041,0,0,0,0,1,0,1,1,1,1
267,0,24,48314.4,287.642733,1779.309609,1,0,1,1,1,0,1,1,1,1
268,4,83,5511.77,177.65076,1494.716409,1,0,1,0,0,1,1,0,1,1
269,3,19,10701.11,220.114868,1740.72604,0,0,0,0,0,0,0,1,1,1
270,1,78,10767.15,197.516854,704.7552669,1,0,1,0,0,1,1,1,0,1
271,4,61,13493.63,194.974431,558.4710883,0,0,1,0,1,0,1,1,0,1
272,0,38,25071.58,175.133074,1282.279049,1,0,0,0,0,1,1,0,1,1
273,0,79,368.5,147.478341,287.8189836,1,0,1,0,1,0,1,1,0,0
274,0,49,27976.63,134.980139,1129.529441,0,0,0,1,0,1,1,1,0,0
275,0,41,56154.5,157.483594,394.0148722,0,0,1,0,1,0,1,1,0,0
276,0,75,62145.59,255.141716,1302.230824,0,0,1,0,1,0,1,1,1,1
277,1,60,6517.94,137.439154,970.4682919,0,0,1,1,1,0,1,0,1,0
278,1,70,19090.03,235.159141,2522.88913,1,0,1,0,1,0,1,0,1,1
279,0,23,13194.33,147.460067,682.9871863,1,0,1,0,1,0,1,0,0,0
280,2,84,63963.36,232.637807,1537.109931,0,0,0,0,0,0,1,1,1,1
281,1,63,34447.89,137.439154,1961.923965,1,0,1,0,1,0,1,0,1,0
282,2,88,36315.29,129.948316,676.1747964,0,0,0,1,0,0,1,0,1,0
283,0,44,5009.07,242.632554,929.2607767,0,0,0,0,1,0,1,1,1,1
284,1,49,14202.72,187.609354,1849.484087,0,0,0,0,0,0,1,0,1,1
285,8,32,54779.76,232.652038,1998.680227,1,0,0,0,0,1,1,1,1,1
286,1,69,36453.31,159.980465,1898.877878,0,1,0,0,0,1,1,1,0,1
287,2,60,11250.71,159.947583,992.3501481,0,0,0,0,0,0,1,1,0,1
288,0,57,65951.35,137.487242,994.6354785,0,0,0,0,1,0,1,0,0,0
289,8,62,15292.25,245.131966,954.0290712,0,0,0,0,1,0,1,0,1,1
290,0,26,41879.1,117.439154,1775.838153,1,0,1,0,0,0,1,0,1,0
291,0,85,17080.57,209.993134,1297.050577,0,0,0,1,0,0,1,1,0,1
292,2,82,68122.23,169.974105,1746.405243,0,0,0,0,1,0,1,1,0,0
293,2,40,39468.79,197.470195,1698.465833,0,0,0,0,0,0,1,1,0,1
295,1,71,84301.44,207.475448,1886.153328,1,0,0,1,0,0,1,1,0,1
296,2,48,42469.81,160.00128,958.6989908,0,1,0,0,1,0,1,1,0,0
297,0,24,75458.79,147.478341,1446.203986,0,0,1,0,1,0,1,1,0,0
298,3,79,60345.9,127.488728,774.6125757,1,0,1,0,0,1,1,0,0,1
299,4,82,76066.77,139.981577,1939.811149,1,0,0,0,0,1,1,0,1,0
300,2,68,42755.27,220.132293,1165.564309,0,0,0,1,1,0,1,0,1,1
301,5,77,76874.25,214.952509,750.8768234,0,1,1,0,1,0,1,1,0,1
302,1,19,41075.64,139.99789,1292.3206,0,0,0,0,0,1,1,0,0,1
303,1,80,63095.62,270.160419,2335.130986,1,0,0,0,0,0,0,1,1,1
304,4,31,82131.87,202.443347,769.8534863,0,0,1,0,1,0,1,1,0,1
305,2,62,28502.33,172.47417,1729.837284,1,0,0,0,1,0,1,0,0,1
306,4,80,9450.84,137.468388,649.3891796,1,0,0,1,0,1,1,1,1,0
307,1,36,44977.06,104.962874,823.0046464,1,0,1,0,0,1,1,0,1,0
308,0,72,13583.35,174.969934,1107.882056,1,0,1,0,0,0,1,0,0,1
309,0,50,42093.64,139.99789,683.8622599,1,0,1,0,0,1,0,0,0,1
310,3,31,55398.87,144.988941,1301.49424,1,0,0,1,0,0,1,0,1,0
311,0,22,22362.59,114.997564,1079.012505,0,0,1,0,0,1,1,0,0,0
312,0,50,40271.47,172.484753,1283.463995,1,0,1,0,0,1,1,1,0,1
313,0,28,56178.63,124.97808,987.653655,1,0,1,0,1,0,1,0,0,0
314,0,63,21053.35,174.991856,1088.263081,1,0,0,1,1,0,1,0,0,1
315,1,73,75866.75,92.488023,583.0259559,0,0,1,0,0,1,1,0,0,0
316,3,72,74061.48,139.965008,1778.733282,1,0,1,0,0,0,1,0,0,1
317,7,23,35102.93,192.470522,900.4043765,1,0,0,1,1,0,1,1,0,1
318,1,49,26391.1,220.118516,1693.576099,1,0,0,1,1,0,1,0,1,1
319,1,82,29982.49,232.622804,1143.826239,0,0,1,1,1,0,1,0,1,1
320,1,72,51154.34,210.156274,886.340074,0,0,1,0,0,1,1,1,1,1
321,1,45,37583.97,114.972827,373.2772664,0,0,0,0,1,0,1,0,0,0
322,1,73,28654.87,149.977753,1245.328696,0,0,0,1,1,0,1,0,0,0
324,4,71,11591.09,132.479779,1354.401018,1,0,0,0,0,0,1,0,1,0
325,4,67,70174.11,190.12704,1971.429689,0,0,0,0,0,0,1,0,1,1
326,1,43,8495.04,92.488023,623.7865683,1,0,1,0,0,1,1,0,0,0
327,5,27,17191.02,220.114868,3040.553763,0,0,0,0,0,0,1,1,1,1
328,2,39,24732.09,107.495766,864.7036995,1,0,1,0,0,0,1,0,0,0
329,0,52,27282.21,169.967067,2042.113893,0,0,1,0,0,1,1,1,0,1
330,9,19,40902.49,222.679213,1973.661316,0,0,1,0,0,1,1,1,1,1
331,0,48,87568.16,200.132293,1755.645123,0,0,1,0,0,0,1,0,1,1
332,0,22,69327.78,262.610632,1758.735654,1,0,0,1,1,0,1,1,1,1
333,1,69,5194.22,152.495236,557.0118807,1,0,1,0,0,1,1,1,1,0
334,1,31,12951.51,202.636202,2205.334092,1,0,0,0,0,0,1,0,1,1
335,9,79,11179.42,127.478341,1451.201108,0,0,0,1,0,0,1,1,0,0
336,0,65,47288.09,159.983006,609.0598401,1,0,0,0,1,0,1,0,0,0
339,3,74,42386.84,104.97808,1220.452161,1,0,1,0,0,0,1,0,0,0
