,Children,Age,Income,Outage_sec_perweek,Yearly_equip_failure,Tenure,MonthlyCharge,Gender_Male,Gender_Nonbinary,Techie_Yes,InternetService_Fiber Optic,InternetService_None,Tablet_Yes,Phone_Yes,TechSupport_Yes
30,4,69,33442.79,10.61771118,0,5.425864884,257.651257,1,0,0,0,0,1,1,0
31,9,45,43383.54,6.613070806,0,11.08287797,230.105118,1,0,0,1,0,0,0,0
32,0,40,21793.88,4.450171647,0,3.586184954,147.489301,0,0,0,0,1,1,1,1
33,6,82,51960.51,8.774646693,0,4.727388465,230.105118,0,0,0,1,0,1,1,0
34,5,74,25942.1,11.13156721,1,20.89923386,174.958118,1,0,0,0,0,0,1,0
35,4,69,11211.59,5.540788887,0,3.471329958,267.664655,1,0,0,1,0,0,1,1
36,1,52,8283.29,13.80362698,1,5.478588204,162.483267,1,0,0,0,0,0,1,1
37,2,26,10114.81,16.31017089,1,3.312991809,229.993134,0,0,0,1,0,0,1,1
38,1,25,36229.21,9.447065309,0,7.161561527,140.00128,0,0,0,0,0,1,1,0
39,1,66,25397.44,16.84100845,0,9.847563364,184.964681,0,0,0,1,0,0,1,1
40,1,72,50336.5,7.972937227,1,16.04202196,147.473844,1,0,0,1,0,0,1,0
41,3,21,38211.37,11.42906608,0,9.179779682,172.457857,0,0,0,1,0,0,1,0
42,3,55,52887.26,8.06137096,0,3.002844144,107.481989,1,0,0,0,0,0,1,1
43,4,41,12003.33,12.54780492,2,3.924254455,255.141716,1,0,0,1,0,0,1,1
44,4,32,24090.62,8.255565152,0,18.55959629,192.456745,1,0,0,1,0,1,1,1
45,0,22,15137.93,13.156514,0,8.798394712,242.632554,0,0,0,1,0,0,1,0
46,2,44,54458.38,10.58349704,0,10.377366,245.174977,0,0,0,0,1,1,1,0
48,3,43,37358.13,9.750038902,0,9.427146079,195.006206,0,0,1,1,0,0,1,1
49,1,86,26534.16,7.868660851,2,7.760290062,104.962874,0,0,0,0,1,0,1,0
50,2,84,76430.83,12.43563329,1,11.56938439,92.488023,0,0,0,0,1,1,1,1
51,2,62,4662.37,8.957166926,0,3.343811019,184.979684,0,0,0,0,0,0,1,1
52,5,68,43820.85,8.015021713,0,7.338869531,187.656013,0,0,0,0,1,0,1,0
53,1,59,38391.55,4.210347704,0,5.486534225,149.962093,0,0,0,1,0,0,1,0
54,0,31,44137.6,11.13960534,0,1.55278221,169.944668,0,0,1,1,0,0,1,0
55,0,51,14364.65,9.03738856,0,12.07970325,160.00128,1,0,0,1,0,0,1,0
56,1,58,62359.91,10.91594785,1,13.98666226,129.962093,0,0,0,0,0,0,1,0
57,1,73,82634.86,8.387624096,1,9.563362997,114.950905,1,0,0,0,0,0,1,0
58,1,33,15690.25,11.4487514,1,6.732948946,142.515576,0,0,0,0,1,0,1,1
59,1,58,14568.7,10.22013704,0,15.72071086,220.14775,1,0,0,0,1,0,1,1
60,0,49,29207.46,8.425458142,0,7.233605493,124.97808,0,0,0,1,0,0,1,0
61,1,26,55319.23,8.386280619,0,2.871017037,164.964681,0,0,0,0,0,1,1,1
62,1,25,81831.49,9.565924291,0,2.344875382,194.976769,1,0,0,1,0,0,1,1
63,0,42,100076.65,10.79349982,0,7.960490246,152.455519,0,0,0,0,0,0,1,0
64,1,81,69965.65,6.081975067,0,12.25062113,92.5018,1,0,0,0,1,1,1,0
65,1,43,34883.69,13.55065547,0,9.634946079,127.488728,0,0,1,0,1,1,1,0
66,2,63,45634.2,9.470419821,0,7.916533093,184.963371,1,0,0,0,0,0,1,0
67,3,70,10964.73,6.194985909,1,4.471254161,265.146969,0,0,0,1,0,0,1,1
68,1,78,22365.28,10.80393657,0,10.79028074,207.609354,1,0,0,1,0,0,1,0
69,0,48,52636.6,7.903964267,1,12.24190682,152.462354,1,0,0,0,0,1,1,0
70,1,63,19048.13,11.27443693,1,2.203859443,200.132293,0,0,1,0,0,0,1,0
71,4,60,42784.82,6.129509309,0,23.92132231,212.655686,0,0,0,0,1,1,1,1
72,0,87,77996.88,7.969277912,0,3.7311787,255.119794,1,0,1,0,0,0,1,1
73,3,54,47507.3,4.368120492,0,7.980015371,134.950905,0,0,0,1,0,0,1,0
74,3,35,7724.73,6.258356398,1,9.190009376,255.137219,1,0,0,1,0,0,1,1
75,1,70,1509.52,12.92303286,0,2.378630018,214.966286,1,0,0,1,0,0,1,0
76,2,67,81124.71,12.43301273,0,5.43464555,270.160419,0,0,0,0,0,1,1,1
77,4,46,11795.57,7.607663559,0,1.092361222,200.165175,0,0,0,0,1,0,0,1
78,1,50,74794.84,7.442789019,1,20.13981517,149.937833,1,0,0,0,0,0,1,0
79,1,24,19038.78,13.04429298,0,24.64873861,240.114868,0,0,0,1,0,1,1,0
80,0,20,79167.77,14.89762162,0,9.677739656,127.495766,1,0,0,1,0,1,1,0
81,1,29,37428.26,13.79387475,1,9.82814183,187.609354,0,0,0,0,0,0,1,0
82,0,31,45148.38,15.66367593,0,7.832238337,169.992756,1,0,1,1,0,0,1,1
83,5,72,74855.47,8.513410306,0,19.45250317,192.456745,0,0,0,1,0,0,1,1
84,4,71,45323.86,8.265002035,0,14.34766616,120.004928,1,0,0,0,0,1,1,1
85,2,32,71596.14,8.6026551,0,2.257358355,195.006206,0,0,0,1,0,0,1,1
86,0,33,10389.95,6.03993035,0,2.358129018,139.95684,1,0,0,1,0,0,1,0
87,3,67,19657.14,14.6040829,0,4.650578623,114.983787,1,0,1,0,1,0,1,1
88,0,66,27827.03,7.274007029,1,3.721772616,207.638588,0,0,0,0,1,0,1,0
89,4,21,15609.05,8.913898759,0,3.76663012,187.609354,0,0,0,0,0,0,1,0
90,0,61,19815.63,11.59313893,2,4.151256695,134.950905,0,0,0,1,0,1,1,0
91,0,75,58482.9,8.294186076,0,2.188918771,192.470522,0,0,0,1,0,0,1,0
92,0,63,41656.53,15.19664016,0,13.85488928,222.628057,0,0,0,0,0,1,0,0
94,2,32,15841.19,6.942719201,1,19.75096265,159.979358,1,0,0,0,0,0,1,0
95,0,76,81127.41,9.834012571,0,18.38404445,184.979684,1,0,0,0,0,1,1,1
96,0,29,24270.88,11.0596826,0,4.672610857,245.145743,0,0,0,1,0,0,1,0
97,0,83,54466.33,8.834079073,1,6.796299371,124.97808,0,0,0,1,0,0,1,0
98,10,23,64816.84,5.271228601,1,12.97632235,187.484705,1,0,0,1,0,0,1,1
99,5,80,103311.26,9.394961367,0,20.31163945,162.500692,1,0,0,1,0,0,1,1
100,0,20,40211.04,14.4754365,1,6.998814446,182.467607,1,0,0,1,0,0,1,0
101,0,69,58077.38,10.68311773,1,14.46288204,222.660939,1,0,0,0,1,0,0,1
102,1,32,43466.35,13.79409442,0,11.13472066,182.467607,1,0,0,1,0,0,1,0
103,0,53,23289.77,12.40165307,0,2.542296644,220.161527,0,0,0,0,1,1,1,0
104,2,25,49158.49,10.24782033,0,17.22596021,169.937833,1,0,0,1,0,0,1,0
105,0,69,3805.84,14.86100819,2,22.79214163,204.963371,1,0,0,1,0,0,0,0
106,3,71,52616.27,6.716953195,1,3.823689744,204.963371,1,0,0,1,0,0,1,0
107,3,53,30550.42,8.124258176,0,10.77094687,245.128318,0,0,0,0,0,0,1,0
108,2,56,12154.01,14.60903837,2,13.08671185,172.473314,0,1,0,0,1,1,1,1
109,0,42,30649.31,12.65015936,2,14.76468813,172.456745,1,0,0,0,0,0,0,1
110,3,33,31417.33,12.0281501,0,9.473091121,194.976769,1,0,0,1,0,0,1,1
111,1,47,55861.19,15.68043093,0,5.197446331,137.439154,1,0,0,1,0,0,1,0
112,1,48,9044.26,11.30421466,1,6.577552683,192.470522,0,0,0,1,0,1,1,0
113,0,63,25381.66,10.26646787,0,3.174571918,159.951231,0,0,0,1,0,0,1,1
114,1,40,65064.31,7.56618217,0,17.88002366,112.455141,1,0,0,1,0,0,1,0
115,0,67,12527.51,10.40677369,0,13.12190056,174.961766,1,0,1,1,0,0,1,1
116,0,56,35499.06,7.146124361,0,23.34617699,162.452604,0,0,1,1,0,0,1,0
117,6,24,26282.4,9.807530479,0,6.311709178,137.483594,0,0,1,0,0,1,1,0
118,2,79,51237.28,10.61217014,0,12.58298231,275.133571,0,0,0,1,0,1,1,0
119,3,61,64222.21,5.785085772,1,7.120096363,127.442069,1,0,0,0,0,0,1,0
120,0,38,11014.98,9.062879297,0,9.344886869,210.138,1,0,1,0,1,0,1,1
121,4,28,21172.49,16.54443477,0,22.37815032,147.456419,0,0,1,0,0,0,1,0
122,3,44,26130.78,4.539566699,0,4.799514433,242.657291,1,0,0,0,1,1,1,0
123,1,65,36478.21,7.251198724,0,10.04672315,114.983787,1,0,1,0,1,1,1,1
124,3,35,54533.63,8.943293567,1,8.156552837,187.656013,0,0,0,0,1,1,1,0
125,2,31,37103.18,12.57884215,1,7.992791229,149.991327,0,0,0,0,1,0,1,0
126,2,34,74679.84,11.64836306,1,7.231032028,124.960655,1,0,1,0,0,1,1,0
127,2,68,95028.57,6.076260652,0,4.627672042,220.161527,1,0,0,0,1,1,1,0
128,0,62,34281.1,11.75681641,0,10.05306287,172.48852,1,0,0,0,0,0,0,1
129,0,52,36240.81,9.173739977,1,4.171044392,120.004928,1,0,0,0,0,1,1,1
130,5,32,9515.64,8.353693631,0,4.568682641,220.161527,1,0,0,0,1,0,1,0
132,8,66,12995.68,11.36323648,1,2.730250735,159.951231,0,0,0,1,0,0,1,1
133,1,70,77531.43,2.310584634,0,8.574901206,184.949594,0,0,0,0,0,0,1,1
134,3,41,87354.99,5.290318715,0,9.743201772,252.637807,1,0,0,1,0,0,1,0
135,2,59,76567.85,5.258274954,0,9.482919033,112.455141,1,0,0,1,0,0,1,0
136,1,46,30663.52,7.157580014,0,8.447988841,179.979358,1,0,0,1,0,0,1,0
138,1,89,31600.92,4.978546291,0,7.251397592,197.472533,1,0,0,0,0,0,1,1
139,4,75,74638.78,6.547676875,1,14.64011644,255.155493,0,0,0,1,0,0,0,0
140,0,26,32652.3,7.410590719,1,11.71637124,174.976769,0,0,1,0,0,1,1,1
141,4,25,63650.54,11.39765385,1,4.13273503,169.992756,0,0,0,1,0,0,1,1
142,1,84,28622.6,11.29945603,0,2.887429547,192.440432,0,0,0,1,0,0,1,0
143,3,69,50252.79,11.30748265,2,3.303030246,182.460772,1,0,0,1,0,1,1,0
144,3,31,19800.81,10.31551212,1,5.15825129,139.965008,1,0,0,0,0,1,1,0
145,10,76,35954.77,13.71555406,0,3.237560234,137.461553,1,0,0,0,1,0,1,0
146,8,75,36342.31,15.40917963,0,2.733109234,217.472533,1,0,0,1,0,0,1,1
147,1,74,48715.53,11.9664542,0,3.180102025,210.138,0,1,0,0,1,1,1,1
148,1,49,23204.98,10.18046877,0,15.85983755,104.964303,1,0,0,0,0,0,0,1
149,1,47,35302.52,14.01485542,1,11.73724209,262.610632,1,0,0,1,0,0,1,0
150,4,20,54895.16,14.62784306,0,7.006240694,152.488401,0,0,0,0,1,1,1,1
151,2,26,60398.06,10.90517581,0,5.562130367,174.974431,0,0,0,0,0,0,1,1
152,2,72,8115.88,8.894475174,1,14.53027663,220.118516,0,0,0,1,0,0,1,1
153,1,41,33858.66,10.50187888,0,5.905906389,162.452604,1,0,1,1,0,1,1,0
154,3,26,29950.47,12.34250072,1,3.260462654,184.961033,0,0,0,0,0,1,1,0
155,4,55,49421.69,10.29380879,0,18.91276578,217.483972,1,0,0,1,0,0,1,0
156,1,46,11061.05,8.512650562,1,14.25617986,220.118516,0,0,0,1,0,0,1,1
157,0,87,15388.32,7.82671592,2,7.983887266,187.642236,0,0,1,0,1,0,1,1
158,1,39,20624.31,6.985590245,1,5.969967132,174.961766,1,0,1,1,0,1,1,1
159,0,81,47877.81,11.40449185,0,19.95277818,252.637807,1,0,0,1,0,0,1,0
160,0,83,46154.17,10.44249511,0,14.85781115,130.024412,1,0,0,0,1,0,1,1
162,3,87,10403.59,10.68024546,1,11.92299244,182.467607,0,0,0,1,0,0,1,0
163,3,76,22412.6,10.62439366,0,5.972864167,139.934918,0,0,0,0,0,0,1,0
164,6,25,19476.27,10.91642397,0,10.87555535,200.165175,0,0,1,0,1,0,1,1
165,3,34,96382.76,8.580626195,0,16.00330155,202.682861,1,0,0,0,1,0,1,1
166,1,46,28022.56,8.996933306,1,12.63074989,159.951231,0,0,0,1,0,0,1,1
167,1,73,35478.4,7.602570192,0,8.4944392,149.948316,0,0,0,1,0,0,1,1
168,8,57,10155.51,9.217689334,1,8.044444101,149.959755,0,0,0,1,0,0,1,0
169,3,58,87537.25,9.591529444,1,12.07358377,137.469817,1,0,0,0,0,1,1,1
170,4,70,34112.1,13.36027908,0,10.21634248,187.656013,1,0,0,0,1,0,1,0
171,0,53,32653.51,4.372034777,0,15.50354683,164.985293,1,0,0,0,0,0,1,0
172,0,31,35321.46,10.59285179,3,13.88004531,159.965008,1,0,0,1,0,0,1,0
173,0,38,49277.48,12.81260566,0,19.48900163,172.462354,0,0,0,1,0,0,1,0
174,0,26,37297.82,3.767298987,0,10.01771765,204.949594,0,0,0,1,0,0,1,1
175,2,44,14928.96,17.56798903,0,7.34059599,147.473844,1,0,0,1,0,0,1,0
176,3,66,24702.68,11.2369761,2,12.64742067,162.471255,0,0,1,1,0,0,1,1
177,1,58,87535.71,8.54892416,1,8.850426839,119.95684,1,0,0,0,0,0,1,0
178,6,51,63166.87,6.094109902,0,3.701557118,207.609354,0,0,0,1,0,0,1,0
179,4,34,11856.81,13.9077275,0,2.976033785,194.999168,0,0,0,0,1,0,1,1
180,0,87,27326.79,7.905333122,0,5.522376826,174.975543,0,1,0,1,0,0,1,0
181,1,67,12779.23,12.53830949,1,15.64596698,240.114868,0,0,0,1,0,0,1,0
182,4,59,25519.91,12.8219418,1,23.00764441,240.114868,0,1,0,1,0,1,1,0
183,7,23,46871.21,8.941553742,0,17.24924155,139.983006,1,0,0,0,0,0,1,1
184,0,42,77383.72,10.51043963,0,13.01107597,240.114868,1,0,0,1,0,0,1,0
185,1,24,47395.3,11.86384439,0,5.104082209,209.993134,0,0,0,0,0,0,1,1
186,2,81,90977.74,10.76051016,0,3.521499924,147.456419,0,0,0,0,0,1,1,0
188,1,51,47726.25,8.174495258,0,1.875430489,152.502178,0,0,0,0,1,1,1,0
189,1,70,51721.64,10.05388383,0,5.587484456,79.978861,0,0,0,0,1,0,1,0
190,0,87,41531.03,7.045552801,0,7.007695148,142.482694,0,0,0,0,0,1,1,0
191,0,46,33504.8,8.957297136,0,1.408375942,117.439154,0,0,0,0,0,0,1,0
192,8,56,34197.3,15.74015572,1,11.64983735,220.132293,0,0,0,1,0,1,1,0
193,4,44,11518.58,13.41209586,0,2.964559883,152.455519,1,0,1,0,0,0,1,0
194,0,33,31065.17,14.89835355,1,10.25635754,174.961766,0,0,0,1,0,0,1,1
195,0,19,32097.17,13.62135046,1,3.892407013,202.443347,0,0,0,1,0,0,1,0
196,1,31,23424.88,14.95912113,1,3.226996711,210.12704,1,0,0,1,0,0,1,0
197,1,34,35988.24,11.741245,0,15.87685513,139.979239,0,0,0,0,1,1,1,0
198,4,43,35539.7,7.765121655,1,5.874064017,139.965008,1,0,0,0,0,1,1,0
199,1,82,27959.34,7.130431693,0,3.756359276,137.439154,1,0,0,1,0,1,1,0
200,6,36,52232.97,8.359515606,0,2.905283283,102.474625,0,0,0,0,1,0,1,0
201,1,48,18198.59,9.42799205,0,1.474810061,252.637807,1,0,0,1,0,1,1,0
202,0,52,16851.94,10.95510131,1,18.56165869,194.999168,1,0,0,0,1,1,1,1
203,1,35,16440.05,10.8621377,0,12.39088509,242.610632,0,1,0,0,0,0,1,0
204,3,83,44223.58,7.352533505,0,14.17192333,127.458638,0,0,0,0,1,0,1,0
205,0,20,33343.73,11.38860234,0,3.86023041,129.976324,1,0,0,0,1,1,1,0
206,0,25,30664.56,9.580144161,0,17.72593456,240.114868,0,0,0,1,0,0,1,0
207,0,88,31934.04,10.79191234,0,3.043063167,174.975543,1,0,0,1,0,0,1,0
208,1,54,26676.4,9.982341124,0,5.827112819,169.944668,0,0,0,1,0,0,1,0
209,1,46,67211.95,6.511921085,1,4.648958177,162.511928,1,0,0,0,1,1,1,0
210,2,75,31136.77,10.70500472,0,11.96274778,119.95684,0,0,0,0,0,0,1,0
211,5,66,40660.84,11.58410296,1,4.525864256,137.439154,1,0,0,1,0,0,0,0
212,0,51,10606.59,8.01651453,1,8.038308899,207.46728,0,0,1,1,0,0,1,1
213,3,81,92447.71,15.12148226,0,1.416592892,149.974105,0,0,0,0,0,0,1,0
214,0,75,13612.16,12.63643487,0,19.83504645,225.178625,1,0,0,0,1,0,1,1
215,3,54,13765.39,16.68178185,0,15.85002222,232.637807,0,0,0,0,0,0,0,0
216,2,73,53019.98,11.08409914,1,15.94935291,117.472036,1,0,0,0,1,1,1,1
217,0,53,42523.02,12.99948061,1,11.94550648,137.469817,1,0,0,0,0,0,1,1
218,8,33,52143.7,11.17949466,1,16.03360405,220.132293,0,0,0,1,0,0,1,0
219,5,41,19097.94,7.369412654,1,21.29342532,124.960655,0,0,0,0,0,1,1,0
220,1,59,11301.4,9.84688181,0,4.95598008,199.990219,0,0,1,0,0,1,1,1
221,3,23,17814.0,18.19542503,0,2.73951266,159.947583,0,0,0,0,0,0,1,0
222,1,32,22533.05,13.53989069,1,4.973046104,245.145743,0,0,0,1,0,0,0,0
223,3,51,19974.4,5.458806701,0,10.28430068,255.155493,0,0,0,1,0,0,1,0
224,1,46,45146.99,12.0772854,1,2.581692044,134.950905,0,0,0,1,0,1,1,0
225,3,37,10330.1,6.918984305,0,6.945736396,159.947583,1,0,0,0,0,1,1,0
226,0,53,15281.28,14.84155042,0,9.999416271,139.987503,1,0,0,0,0,0,1,1
227,1,62,11217.96,12.66717474,0,6.035737465,179.947583,1,0,0,1,0,1,1,0
228,1,57,17516.0,11.43786808,1,9.004964377,127.473844,0,0,0,0,0,1,0,0
229,2,80,20566.64,6.915228797,0,5.071456681,232.637807,0,0,0,0,0,0,1,0
230,1,43,36128.68,11.30215199,1,12.02106494,195.006206,1,0,0,1,0,1,1,1
231,1,35,52129.84,9.513085538,0,5.049303717,267.642733,1,0,1,0,0,1,1,1
232,1,63,25985.06,9.497106973,0,18.17247008,149.959755,0,0,0,1,0,1,1,0
233,1,63,10909.79,12.21852573,0,15.31997698,220.114868,0,0,0,0,0,0,1,0
234,1,27,41151.14,8.272244827,0,16.0708543,157.483594,0,0,0,1,0,0,1,0
235,4,19,64063.23,10.24857935,0,7.873371451,127.474951,0,0,0,0,1,0,1,1
236,1,40,20414.07,6.743431946,1,23.62866494,139.981577,0,0,1,0,1,0,1,0
237,0,42,41412.1,12.4703522,0,25.8634566,255.133571,1,0,0,0,0,0,1,0
238,0,40,99195.08,7.913676085,0,9.405224809,194.966286,0,0,0,0,0,0,1,0
239,0,72,18408.94,9.362849722,0,12.84490034,179.965581,0,0,1,1,0,0,1,1
240,3,61,15930.45,17.41324465,1,16.59325254,174.976769,1,0,1,0,0,1,0,1
241,0,71,25611.29,13.43700846,0,20.35456039,187.609354,1,0,0,0,0,0,1,0
242,4,68,9428.86,11.95206054,1,12.00925702,169.937833,0,0,0,1,0,1,1,0
243,1,88,3810.16,4.550449856,1,2.861423443,115.002061,0,0,0,0,1,0,1,0
245,1,63,51992.79,10.2863601,1,4.98152586,207.609354,0,0,0,1,0,0,1,0
246,0,53,79993.43,11.17709222,2,23.12150846,147.503078,0,0,0,0,1,0,1,0
247,0,41,37706.85,14.12145884,0,6.307178205,200.118516,1,0,1,0,0,0,1,1
248,2,63,22466.53,7.799780591,0,12.73622643,137.497825,1,0,0,0,1,0,1,0
249,4,56,16608.27,7.122072827,0,12.00466914,134.980139,0,0,0,0,1,0,1,0
250,2,27,25146.14,9.329902365,0,2.243757398,147.442069,1,0,1,1,0,1,1,0
251,2,47,58882.35,7.509389052,0,1.583394702,197.494455,1,0,0,1,0,0,1,1
252,4,42,31809.46,15.06990851,0,14.23487852,162.529926,0,0,0,0,1,0,1,1
253,0,72,27235.54,9.321265424,0,15.28108311,210.151777,0,0,0,0,1,0,1,0
254,3,58,70476.82,3.564651961,0,4.135827839,159.965581,1,0,0,0,0,0,1,1
255,0,33,49396.09,7.779622319,0,9.740709475,190.173699,1,0,0,0,1,0,0,0
256,6,87,35060.94,10.74985413,1,1.213704886,202.649979,0,0,0,0,0,0,1,0
257,0,34,66055.53,7.738373361,0,11.86252419,134.950905,0,0,0,1,0,0,1,0
258,7,76,91335.76,12.01267388,0,2.416685985,142.500692,1,0,0,0,0,0,1,1
259,3,38,54349.75,14.04748759,1,6.73327535,114.997564,0,1,1,0,1,1,1,0
260,0,47,75042.1,3.11231175,1,6.549035393,232.62403,0,0,0,0,0,1,1,1
261,7,84,91001.1,8.284591121,0,10.57197066,242.628057,1,0,0,1,0,0,1,0
262,4,19,44426.28,6.269792565,0,3.379756569,202.443347,1,0,0,1,0,1,0,0
263,0,87,63284.16,9.803905459,1,8.959047529,124.993537,0,0,0,0,1,0,1,1
264,3,75,14039.21,8.571019738,0,10.23679934,174.976769,1,0,0,0,0,0,1,1
265,0,37,12453.24,10.00344746,1,14.96503088,225.145743,1,0,0,0,0,0,0,0
266,1,52,15934.12,4.255224068,1,23.79323993,275.133571,0,0,0,1,0,0,1,0
267,0,24,48314.4,11.2714618,0,11.45675389,287.642733,1,0,0,1,0,1,1,1
268,4,83,5511.77,8.477982632,0,11.04076215,177.65076,1,0,0,0,1,0,1,0
269,3,19,10701.11,9.753145376,1,7.425503428,220.114868,0,0,0,0,0,0,0,0
270,1,78,10767.15,14.57387887,0,2.411712843,197.516854,1,0,0,0,1,0,1,1
271,4,61,13493.63,13.13441554,1,2.009542213,194.974431,0,0,0,1,0,0,1,1
272,0,38,25071.58,11.62771397,0,9.068119482,175.133074,1,0,0,0,1,0,1,0
273,0,79,368.5,6.114030983,1,1.926789854,147.478341,1,0,0,1,0,0,1,0
274,0,49,27976.63,12.76603868,1,11.77389421,134.980139,0,0,0,0,1,1,1,0
275,0,41,56154.5,6.348897952,0,2.585228303,157.483594,0,0,0,1,0,0,1,0
276,0,75,62145.59,16.10939031,1,9.517703088,255.141716,0,0,0,1,0,0,1,1
277,1,60,6517.94,7.151598137,0,9.532523799,137.439154,0,0,0,1,0,1,1,0
278,1,70,19090.03,4.575363954,0,23.103996,235.159141,1,0,0,1,0,0,1,1
279,0,23,13194.33,13.42263904,0,5.104873611,147.460067,1,0,0,1,0,0,1,1
280,2,84,63963.36,3.559550725,0,6.877942744,232.637807,0,0,1,0,0,0,1,0
281,1,63,34447.89,5.971214226,0,21.17839683,137.439154,1,0,0,1,0,0,1,0
282,2,88,36315.29,7.287197615,0,1.586331702,129.948316,0,0,0,0,0,1,1,1
283,0,44,5009.07,11.30031859,0,3.778174405,242.632554,0,0,0,1,0,0,1,0
284,1,49,14202.72,10.26519974,0,11.58276897,187.609354,0,0,1,0,0,0,1,0
285,8,32,54779.76,16.28075484,0,11.62258922,232.652038,1,0,1,0,1,0,1,0
286,1,69,36453.31,10.96553586,0,20.78013031,159.980465,0,1,0,0,1,0,1,1
287,2,60,11250.71,10.93514898,1,3.940297464,159.947583,0,0,0,0,0,0,1,0
288,0,57,65951.35,2.98020454,0,11.38099891,137.487242,0,0,1,1,0,0,1,1
289,8,62,15292.25,17.05256354,1,1.473304337,245.131966,0,0,0,1,0,0,1,1
290,0,26,41879.1,12.29165611,1,12.75609778,117.439154,1,0,0,0,0,0,1,0
291,0,85,17080.57,10.32744663,1,6.253919786,209.993134,0,0,0,0,0,1,1,1
292,2,82,68122.23,9.22949351,0,18.9537053,169.974105,0,0,0,1,0,0,1,0
293,2,40,39468.79,10.02758972,1,9.640061615,197.470195,0,0,0,0,0,0,1,1
295,1,71,84301.44,10.97274944,1,12.42120946,207.475448,1,0,0,0,0,1,1,1
296,2,48,42469.81,11.87042081,0,8.134438503,160.00128,0,1,0,1,0,0,1,0
297,0,24,75458.79,9.531063533,0,14.86764776,147.478341,0,0,0,1,0,0,1,0
298,3,79,60345.9,8.798065013,0,5.548652108,127.488728,1,0,0,0,1,0,1,0
299,4,82,76066.77,15.27146446,1,18.35541838,139.981577,1,0,0,0,1,0,1,0
300,2,68,42755.27,7.014445177,1,7.62779591,220.132293,0,0,1,1,0,1,1,0
301,5,77,76874.25,10.62019312,0,4.439685675,214.952509,0,1,0,1,0,0,1,1
302,1,19,41075.64,10.04585562,1,11.16903388,139.99789,0,0,1,0,1,0,1,1
303,1,80,63095.62,10.88047174,2,14.14101821,270.160419,1,0,1,0,0,0,0,1
304,4,31,82131.87,9.975481565,0,3.212400569,202.443347,0,0,0,1,0,0,1,0
305,2,62,28502.33,7.248946018,2,16.84928353,172.47417,1,0,0,1,0,0,1,1
306,4,80,9450.84,9.53003591,1,3.834727471,137.468388,1,0,0,0,1,1,1,0
307,1,36,44977.06,6.592317798,0,6.198230305,104.962874,1,0,0,0,1,0,1,0
308,0,72,13583.35,8.124261532,0,4.216732972,174.969934,1,0,0,0,0,0,1,1
