Population,Children,Age,Income,Outage_sec_perweek,Yearly_equip_failure,Tenure,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,Techie_Yes,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Multiple_Yes,DeviceProtection_Yes,TechSupport_Yes
20269,4,60,42784.82,6.129509309,0,23.92132231,2676.789803,0,0,1,1,0,0,0,0,0,1,0,0,1
30225,0,87,77996.88,7.969277912,0,3.7311787,1268.086909,1,0,0,0,1,0,1,1,0,0,1,0,1
5760,3,54,47507.3,4.368120492,0,7.980015371,822.6771666,0,1,0,1,0,0,0,0,1,0,0,0,0
61,3,35,7724.73,6.258356398,1,9.190009376,1577.915603,0,0,1,0,1,0,0,0,1,0,0,1,1
34359,1,70,1509.52,12.92303286,0,2.378630018,648.7471776,0,0,1,0,1,0,0,0,1,0,1,1,0
24693,2,67,81124.71,12.43301273,0,5.43464555,1648.102673,1,0,0,1,0,0,0,1,0,0,1,1,1
4235,4,46,11795.57,7.607663559,0,1.092361222,768.0874545,1,0,0,1,0,0,0,0,0,1,0,1,1
2193,1,50,74794.84,7.442789019,1,20.13981517,2426.030626,0,0,1,0,1,0,0,1,0,0,0,0,0
273,1,24,19038.78,13.04429298,0,24.64873861,2660.503932,1,0,0,1,0,0,0,0,1,0,1,0,0
14557,0,20,79167.77,14.89762162,0,9.677739656,1129.549713,1,0,0,0,1,0,0,0,1,0,0,1,0
17653,1,29,37428.26,13.79387475,1,9.82814183,1771.286466,0,0,1,1,0,0,0,1,0,0,0,0,0
285,0,31,45148.38,15.66367593,0,7.832238337,943.3391244,1,0,0,0,1,0,1,0,1,0,1,1,1
320,5,72,74855.47,8.513410306,0,19.45250317,1907.226083,0,0,1,1,0,0,0,0,1,0,1,0,1
2863,4,71,45323.86,8.265002035,0,14.34766616,1885.939118,0,0,1,0,1,0,0,1,0,0,0,1,1
1206,2,32,71596.14,8.6026551,0,2.257358355,631.7435653,0,1,0,1,0,0,0,0,1,0,1,1,1
35279,0,33,10389.95,6.03993035,0,2.358129018,562.6095219,1,0,0,0,1,0,0,0,1,0,0,0,0
1049,3,67,19657.14,14.6040829,0,4.650578623,593.8572264,0,1,0,0,1,0,1,0,0,1,0,0,1
32203,0,66,27827.03,7.274007029,1,3.721772616,777.3060718,0,1,0,1,0,0,0,0,0,1,1,0,0
25576,4,21,15609.05,8.913898759,0,3.76663012,1393.202392,1,0,0,1,0,0,0,1,0,0,0,0,0
319,0,61,19815.63,11.59313893,2,4.151256695,393.6524652,0,0,1,1,0,0,0,0,1,0,0,0,0
55519,0,75,58482.9,8.294186076,0,2.188918771,409.7486664,1,0,0,1,0,0,0,0,1,0,1,1,0
15210,0,63,41656.53,15.19664016,0,13.85488928,2138.107161,0,0,1,1,0,0,0,1,0,0,0,1,0
14479,2,32,15841.19,6.942719201,1,19.75096265,2481.385603,0,1,0,0,1,0,0,1,0,0,1,1,0
4654,0,76,81127.41,9.834012571,0,18.38404445,2233.567181,0,1,0,0,1,0,0,1,0,0,1,1,1
26320,0,29,24270.88,11.0596826,0,4.672610857,1158.91369,0,1,0,1,0,0,0,0,1,0,0,1,0
35,0,83,54466.33,8.834079073,1,6.796299371,529.40733,1,0,0,1,0,0,0,0,1,0,0,1,0
521,10,23,64816.84,5.271228601,1,12.97632235,1956.7337,0,1,0,0,1,0,0,0,1,0,0,1,1
17600,5,80,103311.26,9.394961367,0,20.31163945,2056.386979,1,0,0,0,1,0,0,0,1,0,0,1,1
3324,0,20,40211.04,14.4754365,1,6.998814446,1067.373076,0,1,0,0,1,0,0,0,1,0,1,1,0
55122,0,69,58077.38,10.68311773,1,14.46288204,1806.135733,0,0,1,0,1,0,0,0,0,1,0,1,1
4038,1,32,43466.35,13.79409442,0,11.13472066,1397.701335,0,0,1,0,1,0,0,0,1,0,1,1,0
31927,0,53,23289.77,12.40165307,0,2.542296644,808.4305471,0,0,1,1,0,0,0,0,0,1,1,1,0
19904,2,25,49158.49,10.24782033,0,17.22596021,1886.531937,1,0,0,0,1,0,0,0,1,0,0,0,0
13000,0,69,3805.84,14.86100819,2,22.79214163,2294.781131,0,1,0,0,1,0,0,0,1,0,1,1,0
1444,3,71,52616.27,6.716953195,1,3.823689744,826.3438621,0,0,1,0,1,0,0,0,1,0,1,1,0
2158,3,53,30550.42,8.124258176,0,10.77094687,2072.564168,0,0,1,1,0,0,0,1,0,0,1,0,0
1800,2,56,12154.01,14.60903837,2,13.08671185,1436.793746,0,0,1,0,0,1,0,0,0,1,1,0,1
30,0,42,30649.31,12.65015936,2,14.76468813,1963.332683,0,1,0,0,1,0,0,1,0,0,1,0,1
3682,3,33,31417.33,12.0281501,0,9.473091121,1324.164906,0,1,0,0,1,0,0,0,1,0,1,1,1
41733,1,47,55861.19,15.68043093,0,5.197446331,704.9375603,0,0,1,0,1,0,0,0,1,0,0,0,0
630,1,48,9044.26,11.30421466,1,6.577552683,888.6517305,0,0,1,1,0,0,0,0,1,0,1,1,0
15383,0,63,25381.66,10.26646787,0,3.174571918,377.0810282,1,0,0,1,0,0,0,0,1,0,0,0,1
257,1,40,65064.31,7.56618217,0,17.88002366,1606.489936,0,0,1,0,1,0,0,0,1,0,0,0,0
1012,0,67,12527.51,10.40677369,0,13.12190056,1431.409396,0,0,1,0,1,0,1,0,1,0,0,0,1
20327,0,56,35499.06,7.146124361,0,23.34617699,2253.85247,0,0,1,1,0,0,1,0,1,0,0,0,0
69,6,24,26282.4,9.807530479,0,6.311709178,1353.29384,0,0,1,1,0,0,1,1,0,0,1,1,0
1130,2,79,51237.28,10.61217014,0,12.58298231,1701.457566,0,0,1,1,0,0,0,0,1,0,1,1,0
4210,3,61,64222.21,5.785085772,1,7.120096363,1290.737183,1,0,0,0,1,0,0,1,0,0,0,0,0
155,0,38,11014.98,9.062879297,0,9.344886869,1403.270091,0,0,1,0,1,0,1,0,0,1,0,0,1
37711,4,28,21172.49,16.54443477,0,22.37815032,2603.903672,1,0,0,1,0,0,1,1,0,0,1,0,0
1800,3,44,26130.78,4.539566699,0,4.799514433,1256.287854,0,0,1,0,1,0,0,0,0,1,1,1,0
8028,1,65,36478.21,7.251198724,0,10.04672315,980.9935923,0,1,0,0,1,0,1,0,0,1,0,0,1
31859,3,35,54533.63,8.943293567,1,8.156552837,1347.869205,0,0,1,1,0,0,0,0,0,1,0,1,0
16101,2,31,37103.18,12.57884215,1,7.992791229,1127.267848,0,1,0,1,0,0,0,0,0,1,1,1,0
20449,2,34,74679.84,11.64836306,1,7.231032028,1269.836202,0,1,0,0,1,0,1,1,0,0,1,0,0
161,2,68,95028.57,6.076260652,0,4.627672042,1038.745378,0,0,1,0,1,0,0,0,0,1,1,1,0
29210,0,62,34281.1,11.75681641,0,10.05306287,1531.155367,0,0,1,0,1,0,0,1,0,0,1,1,1
821,0,52,36240.81,9.173739977,1,4.171044392,991.2441024,0,0,1,0,1,0,0,1,0,0,0,1,1
5846,5,32,9515.64,8.353693631,0,4.568682641,1244.296865,0,0,1,0,1,0,0,0,0,1,1,1,0
5529,8,66,12995.68,11.36323648,1,2.730250735,577.1157824,1,0,0,1,0,0,0,0,1,0,0,0,1
25328,1,70,77531.43,2.310584634,0,8.574901206,1442.974877,1,0,0,1,0,0,0,1,0,0,1,0,1
3736,3,41,87354.99,5.290318715,0,9.743201772,1577.208717,0,1,0,0,1,0,0,0,1,0,1,1,0
610,2,59,76567.85,5.258274954,0,9.482919033,886.9398744,0,1,0,0,1,0,0,0,1,0,0,0,0
34,1,46,30663.52,7.157580014,0,8.447988841,1065.06443,1,0,0,0,1,0,0,0,1,0,1,1,0
1135,1,89,31600.92,4.978546291,0,7.251397592,1404.435534,0,0,1,0,1,0,0,1,0,0,1,1,1
1750,4,75,74638.78,6.547676875,1,14.64011644,1925.911722,0,1,0,1,0,0,0,0,1,0,1,1,0
1076,0,26,32652.3,7.410590719,1,11.71637124,1805.011298,0,0,1,1,0,0,1,1,0,0,1,1,1
1692,4,25,63650.54,11.39765385,1,4.13273503,700.7343179,0,0,1,1,0,0,0,0,1,0,1,1,1
43123,1,84,28622.6,11.29945603,0,2.887429547,513.237305,1,0,0,1,0,0,0,0,1,0,1,0,0
2396,3,69,50252.79,11.30748265,2,3.303030246,717.3876564,0,1,0,0,1,0,0,0,1,0,0,1,0
12914,3,31,19800.81,10.31551212,1,5.15825129,1313.492851,0,0,1,0,1,0,0,1,0,0,0,1,0
15171,10,76,35954.77,13.71555406,0,3.237560234,819.4195269,0,1,0,0,1,0,0,0,0,1,0,0,0
5157,8,75,36342.31,15.40917963,0,2.733109234,882.1160656,1,0,0,0,1,0,0,0,1,0,1,1,1
828,1,74,48715.53,11.9664542,0,3.180102025,724.7803356,1,0,0,0,0,1,0,0,0,1,0,0,1
98,1,49,23204.98,10.18046877,0,15.85983755,1829.270014,0,1,0,0,1,0,0,1,0,0,0,0,1
15671,1,47,35302.52,14.01485542,1,11.73724209,1668.199119,1,0,0,0,1,0,0,0,1,0,1,0,0
2229,4,20,54895.16,14.62784306,0,7.006240694,1124.353152,0,0,1,1,0,0,0,0,0,1,0,0,1
4982,2,26,60398.06,10.90517581,0,5.562130367,1316.239744,0,1,0,1,0,0,0,1,0,0,1,0,1
18575,2,72,8115.88,8.894475174,1,14.53027663,1637.201426,0,0,1,1,0,0,0,0,1,0,0,0,1
15715,1,41,33858.66,10.50187888,0,5.905906389,951.8524406,0,0,1,0,1,0,1,0,1,0,0,0,0
6252,3,26,29950.47,12.34250072,1,3.260462654,1248.097652,0,1,0,1,0,0,0,1,0,0,1,0,0
3834,4,55,49421.69,10.29380879,0,18.91276578,2220.255405,0,0,1,0,1,0,0,0,1,0,1,1,0
19556,1,46,11061.05,8.512650562,1,14.25617986,1669.202417,0,0,1,1,0,0,0,0,1,0,0,0,1
47732,0,87,15388.32,7.82671592,2,7.983887266,990.0555076,0,1,0,1,0,0,1,0,0,1,0,0,1
86926,1,39,20624.31,6.985590245,1,5.969967132,967.9819136,1,0,0,0,1,0,1,0,1,0,0,0,1
69,0,81,47877.81,11.40449185,0,19.95277818,2190.259876,1,0,0,0,1,0,0,0,1,0,1,1,0
15033,0,83,46154.17,10.44249511,0,14.85781115,1445.752781,0,1,0,0,1,0,0,0,0,1,0,1,1
1879,3,87,10403.59,10.68024546,1,11.92299244,1296.481055,0,0,1,1,0,0,0,0,1,0,1,1,0
358,3,76,22412.6,10.62439366,0,5.972864167,1195.393037,1,0,0,1,0,0,0,1,0,0,0,0,0
32653,6,25,19476.27,10.91642397,0,10.87555535,1700.121992,0,1,0,1,0,0,1,0,0,1,0,1,1
10398,3,34,96382.76,8.580626195,0,16.00330155,2120.673828,1,0,0,0,1,0,0,0,0,1,0,1,1
2081,1,46,28022.56,8.996933306,1,12.63074989,1238.421347,0,1,0,1,0,0,0,0,1,0,0,0,1
3410,1,73,35478.4,7.602570192,0,8.4944392,847.110799,0,1,0,1,0,0,0,0,1,0,0,0,1
377,8,57,10155.51,9.217689334,1,8.044444101,1112.937102,0,1,0,1,0,0,0,0,1,0,0,0,0
1917,3,58,87537.25,9.591529444,1,12.07358377,1623.045026,1,0,0,0,1,0,0,1,0,0,1,0,1
2482,4,70,34112.1,13.36027908,0,10.21634248,1479.730181,0,0,1,0,1,0,0,0,0,1,0,1,0
902,0,53,32653.51,4.372034777,0,15.50354683,2144.735024,0,1,0,0,1,0,0,1,0,0,1,1,0
43714,0,31,35321.46,10.59285179,3,13.88004531,1522.289512,0,1,0,0,1,0,0,0,1,0,0,1,0
3066,0,38,49277.48,12.81260566,0,19.48900163,1974.780054,0,1,0,1,0,0,0,0,1,0,1,0,0
13365,0,26,37297.82,3.767298987,0,10.01771765,1261.177198,1,0,0,1,0,0,0,0,1,0,1,0,1
207,2,44,14928.96,17.56798903,0,7.34059599,939.7181324,1,0,0,0,1,0,0,0,1,0,0,1,0
689,3,66,24702.68,11.2369761,2,12.64742067,1357.062854,0,1,0,1,0,0,1,0,1,0,0,1,1
99,1,58,87535.71,8.54892416,1,8.850426839,1456.887443,0,1,0,0,1,0,0,1,0,0,0,0,0
509,6,51,63166.87,6.094109902,0,3.701557118,937.5863866,1,0,0,1,0,0,0,0,1,0,0,0,0
933,4,34,11856.81,13.9077275,0,2.976033785,830.1193011,0,0,1,1,0,0,0,0,0,1,1,1,1
4991,0,87,27326.79,7.905333122,0,5.522376826,737.8564608,1,0,0,0,0,1,0,0,1,0,0,1,0
1579,1,67,12779.23,12.53830949,1,15.64596698,1781.854862,1,0,0,1,0,0,0,0,1,0,1,0,0
19669,4,59,25519.91,12.8219418,1,23.00764441,2464.577489,0,0,1,0,0,1,0,0,1,0,1,0,0
530,7,23,46871.21,8.941553742,0,17.24924155,2392.203409,0,0,1,0,1,0,0,1,0,0,0,1,1
1469,0,42,77383.72,10.51043963,0,13.01107597,1664.19271,0,1,0,0,1,0,0,0,1,0,1,0,0
324,1,24,47395.3,11.86384439,0,5.104082209,1433.616898,0,1,0,1,0,0,0,1,0,0,1,1,1
10482,2,81,90977.74,10.76051016,0,3.521499924,823.4933243,0,0,1,1,0,0,0,1,0,0,1,0,0
1919,1,51,47726.25,8.174495258,0,1.875430489,590.7765801,1,0,0,1,0,0,0,0,0,1,0,1,0
241,1,70,51721.64,10.05388383,0,5.587484456,418.6206885,0,1,0,1,0,0,0,0,0,1,0,0,0
673,0,87,41531.03,7.045552801,0,7.007695148,1181.991846,0,0,1,1,0,0,0,1,0,0,0,1,0
2649,0,46,33504.8,8.957297136,0,1.408375942,733.4036934,0,0,1,1,0,0,0,1,0,0,0,0,0
1655,8,56,34197.3,15.74015572,1,11.64983735,1719.173387,0,0,1,1,0,0,0,0,1,0,0,1,0
1598,4,44,11518.58,13.41209586,0,2.964559883,1205.956363,0,1,0,0,1,0,1,1,0,0,0,0,0
6658,0,33,31065.17,14.89835355,1,10.25635754,1261.032763,0,0,1,1,0,0,0,0,1,0,0,0,1
823,0,19,32097.17,13.62135046,1,3.892407013,741.7766988,0,1,0,1,0,0,0,0,1,0,1,0,0
13287,1,31,23424.88,14.95912113,1,3.226996711,932.6084359,0,1,0,0,1,0,0,0,1,0,0,0,0
2394,1,34,35988.24,11.741245,0,15.87685513,1708.614019,0,0,1,1,0,0,0,0,0,1,0,0,0
9295,4,43,35539.7,7.765121655,1,5.874064017,1363.58603,0,0,1,0,1,0,0,1,0,0,0,1,0
315,1,82,27959.34,7.130431693,0,3.756359276,472.1057019,0,1,0,0,1,0,0,0,1,0,0,0,0
2998,6,36,52232.97,8.359515606,0,2.905283283,558.2340556,1,0,0,1,0,0,0,0,0,1,0,0,0
178,1,48,18198.59,9.42799205,0,1.474810061,815.194738,0,1,0,0,1,0,0,0,1,0,1,1,0
1423,0,52,16851.94,10.95510131,1,18.56165869,2007.303617,1,0,0,0,1,0,0,0,0,1,1,1,1
1935,1,35,16440.05,10.8621377,0,12.39088509,2088.48083,0,1,0,0,0,1,0,1,0,0,1,0,0
90517,3,83,44223.58,7.352533505,0,14.17192333,1430.761492,0,1,0,1,0,0,0,0,0,1,0,0,0
239,0,20,33343.73,11.38860234,0,3.86023041,822.3008694,0,1,0,0,1,0,0,0,0,1,0,0,0
1003,0,25,30664.56,9.580144161,0,17.72593456,2059.200998,0,1,0,1,0,0,0,0,1,0,1,0,0
2817,0,88,31934.04,10.79191234,0,3.043063167,617.542543,0,1,0,0,1,0,0,0,1,0,0,1,0
884,1,54,26676.4,9.982341124,0,5.827112819,758.4775985,0,1,0,1,0,0,0,0,1,0,1,0,0
11245,1,46,67211.95,6.511921085,1,4.648958177,894.6733856,0,1,0,0,1,0,0,0,0,1,1,1,0
19215,2,75,31136.77,10.70500472,0,11.96274778,1639.898269,0,1,0,1,0,0,0,1,0,0,0,0,0
2733,5,66,40660.84,11.58410296,1,4.525864256,710.7541633,0,0,1,0,1,0,0,0,1,0,0,0,0
1204,0,51,10606.59,8.01651453,1,8.038308899,1092.226042,0,1,0,1,0,0,1,0,1,0,1,0,1
62430,3,81,92447.71,15.12148226,0,1.416592892,757.0097075,1,0,0,1,0,0,0,1,0,0,1,0,0
1028,0,75,13612.16,12.63643487,0,19.83504645,2301.850721,0,1,0,0,1,0,0,0,0,1,0,1,1
28666,3,54,13765.39,16.68178185,0,15.85002222,2401.406545,0,0,1,1,0,0,0,1,0,0,1,1,0
44451,2,73,53019.98,11.08409914,1,15.94935291,1535.788894,1,0,0,0,1,0,0,0,0,1,0,0,1
266,0,53,42523.02,12.99948061,1,11.94550648,1536.589816,0,0,1,0,1,0,0,1,0,0,1,0,1
33649,8,33,52143.7,11.17949466,1,16.03360405,2153.778421,0,1,0,1,0,0,0,0,1,0,0,1,0
1994,5,41,19097.94,7.369412654,1,21.29342532,2409.195918,0,0,1,1,0,0,0,1,0,0,1,0,0
1869,1,59,11301.4,9.84688181,0,4.95598008,1342.862457,0,0,1,1,0,0,1,1,0,0,1,1,1
27590,3,23,17814.0,18.19542503,0,2.73951266,1046.054674,0,1,0,1,0,0,0,1,0,0,1,0,0
21792,1,32,22533.05,13.53989069,1,4.973046104,1204.479468,1,0,0,1,0,0,0,0,1,0,0,1,0
8770,3,51,19974.4,5.458806701,0,10.28430068,1616.908193,1,0,0,1,0,0,0,0,1,0,1,1,0
3378,1,46,45146.99,12.0772854,1,2.581692044,345.0099528,1,0,0,1,0,0,0,0,1,0,0,0,0
1748,3,37,10330.1,6.918984305,0,6.945736396,1427.088655,1,0,0,0,1,0,0,1,0,0,1,0,0
1598,0,53,15281.28,14.84155042,0,9.999416271,1452.334634,0,1,0,0,1,0,0,1,0,0,1,0,1
4335,1,62,11217.96,12.66717474,0,6.035737465,795.4957358,0,0,1,0,1,0,0,0,1,0,1,0,0
2299,1,57,17516.0,11.43786808,1,9.004964377,1333.894229,0,1,0,1,0,0,0,1,0,0,0,1,0
12275,2,80,20566.64,6.915228797,0,5.071456681,1402.20491,0,1,0,1,0,0,0,1,0,0,1,1,0
1065,1,43,36128.68,11.30215199,1,12.02106494,1447.196935,0,0,1,0,1,0,0,0,1,0,1,1,1
24438,1,35,52129.84,9.513085538,0,5.049303717,1662.510936,0,1,0,0,1,0,1,1,0,0,1,1,1
47974,1,63,25985.06,9.497106973,0,18.17247008,1707.641161,0,1,0,1,0,0,0,0,1,0,0,0,0
788,1,63,10909.79,12.21852573,0,15.31997698,2181.752793,0,0,1,1,0,0,0,1,0,0,1,0,0
16882,1,27,41151.14,8.272244827,0,16.0708543,1575.683555,1,0,0,1,0,0,0,0,1,0,1,1,0
165,4,19,64063.23,10.24857935,0,7.873371451,1029.489242,1,0,0,1,0,0,0,0,0,1,0,0,1
109,1,40,20414.07,6.743431946,1,23.62866494,2370.184448,0,0,1,1,0,0,1,0,0,1,0,1,0
11116,0,42,41412.1,12.4703522,0,25.8634566,3309.919373,0,1,0,0,1,0,0,1,0,0,1,1,0
1083,0,40,99195.08,7.913676085,0,9.405224809,1623.273925,1,0,0,1,0,0,0,1,0,0,1,1,0
15604,0,72,18408.94,9.362849722,0,12.84490034,1146.199921,0,1,0,1,0,0,1,0,1,0,1,0,1
37,3,61,15930.45,17.41324465,1,16.59325254,2229.268031,0,0,1,0,1,0,1,1,0,0,1,1,1
57344,0,71,25611.29,13.43700846,0,20.35456039,2512.36494,1,0,0,0,1,0,0,1,0,0,0,0,0
39035,4,68,9428.86,11.95206054,1,12.00925702,1297.388488,0,1,0,1,0,0,0,0,1,0,0,0,0
27698,1,88,3810.16,4.550449856,1,2.861423443,283.39178,1,0,0,1,0,0,0,0,0,1,1,0,0
