Population,Children,Age,Income,Outage_sec_perweek,Tenure,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,Techie_Yes,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Multiple_Yes,DeviceProtection_Yes,TechSupport_Yes
1407,10,64,60462.14,11.75314,36.26479,3780.253613,0,1,0,1,0,0,0,0,0,1,0,0,0
20501,4,39,38759.29,4.527242,6.699323,939.6683701,0,1,0,1,0,0,0,0,1,0,1,0,1
21609,0,81,55565.75,7.200426,65.52605,5913.125552,0,1,0,1,0,0,1,1,0,0,1,1,1
275,5,47,68629.48,8.266471,3.896108,729.6672295,0,0,1,1,0,0,0,0,1,0,1,1,0
723,1,38,32537.12,9.195188,69.55373,6253.491089,0,1,0,1,0,0,0,1,0,0,0,0,0
680,3,57,32456.55,10.12587,37.23531,3495.239613,0,0,1,1,0,0,0,0,1,0,0,1,1
105,2,76,90643.01,6.556398,51.95172,4888.502724,0,1,0,0,1,0,0,1,0,0,0,0,1
209,1,41,6034.37,10.00402,9.873117,1967.928007,0,1,0,1,0,0,0,1,0,0,1,1,0
46215,0,63,14944.48,11.63792,62.67099,5341.756379,0,1,0,1,0,0,0,0,1,0,0,0,0
0,0,79,74297.66,6.808384,3.707186,704.3641607,0,1,0,0,1,0,1,1,0,0,0,0,1
163,2,31,16226.86,6.853036,66.03822,6181.959795,0,1,0,0,1,0,1,0,1,0,1,0,0
3108,2,59,66148.83,7.718284,3.000251,1374.762505,1,0,0,0,1,0,0,1,0,0,0,1,1
4900,0,48,27065.58,9.166549,48.61807,4443.076355,0,0,1,1,0,0,0,0,1,0,0,0,0
1045,0,80,22064.33,8.457343,63.09122,5405.598202,1,0,0,1,0,0,0,0,1,0,0,1,0
447,0,76,8716.12,10.52545349,5.451895614,765.8624235,0,1,0,0,1,0,0,0,0,1,1,0,0
1680,0,74,11222.72,7.228077,9.517804,1104.302871,0,0,1,0,1,0,0,0,1,0,0,1,1
2035,6,41,38482.34,4.315261,68.86595,6437.775218,0,0,1,0,1,0,0,1,0,0,0,1,1
1448,1,45,74948.35,10.95793,11.38469,1731.015044,1,0,0,0,1,0,0,0,1,0,1,1,0
331,0,33,25338.56,11.62413,4.087832,1114.579555,0,1,0,0,1,0,0,1,0,0,1,0,0
587,1,56,10408.71,13.61479,58.53165,5296.605879,0,0,1,0,1,0,0,0,1,0,1,1,0
6506,5,51,6484.19,4.472395,1.740498,450.2597019,0,1,0,1,0,0,0,0,1,0,1,1,1
4928,0,86,14382.5,10.73266,43.87969,4042.115496,0,0,1,0,1,0,0,0,1,0,1,1,0
87,1,64,17172.32,10.209012,7.98560378,1367.4247,1,0,0,0,1,0,0,1,0,0,1,0,1
63,3,82,26633.0,10.40270813,16.67574291,1639.197703,0,0,1,1,0,0,0,0,0,1,0,0,0
8738,1,32,5440.68,6.09105,44.94292,4594.301628,1,0,0,0,1,0,1,1,0,0,1,1,1
34669,4,71,11591.09,11.05733159,5.953547112,1354.401018,0,0,1,0,1,0,0,1,0,0,0,1,0
630,1,41,25377.95,7.175155,54.8774,5301.860931,1,0,0,0,1,0,0,1,0,0,0,0,0
138,2,63,39569.78,9.333686,54.07728,4605.854101,0,0,1,1,0,0,0,0,0,1,0,1,0
678,0,75,63986.3,3.242890295,5.682395213,383.5428131,0,0,1,1,0,0,1,0,1,0,0,0,1
10238,2,47,26920.29,10.25356,68.70194,5794.589213,0,0,1,1,0,0,0,0,1,0,0,0,1
1321,4,78,4115.32,11.45201,61.67004,5333.699374,1,0,0,1,0,0,0,0,1,0,0,0,0
9948,1,78,48318.32,6.346383,3.1741,462.4081269,0,0,1,1,0,0,0,0,1,0,1,0,0
41,0,83,36394.84,5.757065,62.50904,5009.242921,0,1,0,1,0,0,0,0,1,0,0,0,0
0,1,85,9508.97,10.00317,54.09422,4658.564203,1,0,0,0,1,0,0,0,1,0,1,1,0
1358,0,19,19211.13,11.94333,1.741247,1015.142572,0,0,1,1,0,0,0,1,0,0,1,0,0
9762,8,79,26204.77,8.669204519,13.62832619,2270.749222,0,0,1,0,1,0,0,1,0,0,0,1,1
702,1,47,33999.88,9.39927,54.02641,4620.499985,0,0,1,0,1,0,1,0,1,0,0,0,0
76177,3,76,22517.47,5.610881,9.556572,1872.755243,0,1,0,0,1,0,0,1,0,0,0,0,0
1397,6,22,100257.6,13.51521,60.04717,5434.193829,1,0,0,0,1,0,0,0,1,0,0,0,0
529,3,82,38056.65,12.30736,15.95966,2158.69019,0,0,1,1,0,0,0,1,0,0,0,1,1
24682,0,22,36224.99,10.34418,7.109947,1245.2646,0,1,0,0,1,0,0,1,0,0,0,0,1
570,1,55,50428.1,9.962708,13.71891,2259.182707,0,0,1,1,0,0,0,1,0,0,0,1,0
5705,3,36,19364.23,7.500922,62.08563,5966.47536,0,1,0,0,1,0,0,0,1,0,1,0,0
993,1,84,68822.79,3.866889,2.432366,688.0396207,1,0,0,1,0,0,0,1,0,0,0,1,0
215,1,45,20114.83,11.22071,58.52385,5246.886102,0,1,0,0,1,0,0,0,1,0,1,0,0
1583,1,19,7332.51,14.06909,24.14282,2391.497324,0,0,1,1,0,0,0,0,1,0,0,1,1
44760,7,76,50514.83,16.0888,60.10344,6175.687641,0,1,0,1,0,0,0,1,0,0,0,1,0
46087,3,49,9231.72,4.92679,58.71889,5557.974598,0,1,0,0,1,0,0,1,0,0,0,0,0
9077,1,29,42326.58,9.953164978,25.88644227,2576.783187,1,0,0,1,0,0,0,0,1,0,0,1,1
3986,8,38,65841.5,14.81549,49.42466,4944.584376,1,0,0,1,0,0,0,1,0,0,0,0,1
67053,0,89,27155.66,16.4535,39.01296,3382.423508,0,0,1,0,1,0,0,0,1,0,0,0,0
316,4,28,41955.27,12.03070714,5.511437756,910.210446,1,0,0,1,0,0,0,0,0,1,1,0,0
8171,0,88,57295.46,13.02587,16.41429,1452.568552,1,0,0,1,0,0,0,0,0,1,1,1,1
16974,5,32,41512.12,12.47085,70.48211,6153.937297,0,1,0,1,0,0,0,0,1,0,1,0,1
3139,2,56,44499.17,11.21058,4.320048,1215.716688,0,1,0,1,0,0,0,1,0,0,1,1,0
182,1,85,58516.37,10.01688,6.418936,1103.319343,0,0,1,0,1,0,0,0,1,0,1,1,1
2722,2,18,41967.93,17.04978252,10.55505829,1755.239032,1,0,0,0,1,0,0,1,0,0,1,0,0
594,2,78,75452.77,7.876098,2.10678,589.198137,1,0,0,1,0,0,1,0,1,0,1,1,1
253,8,32,38469.46,4.463867,64.46737,6200.818914,1,0,0,1,0,0,1,0,0,1,0,1,0
72061,8,39,57201.39,1.882426,68.98508,6176.702519,0,1,0,0,1,0,1,0,1,0,0,0,1
20925,5,77,76874.25,10.62019312,4.439685675,750.8768234,0,1,0,0,0,1,0,0,1,0,1,0,1
21556,1,24,2405.39,13.40189,8.930383,1419.629707,0,0,1,0,1,0,0,0,1,0,1,0,0
3783,0,69,47635.23,12.58527236,8.721771003,1402.374111,1,0,0,0,1,0,0,1,0,0,0,1,1
1126,2,49,33620.38,9.83612847,7.484425045,758.8338668,0,0,1,1,0,0,0,0,1,0,0,1,0
9725,7,47,54508.92,14.00312,69.01347,6322.625755,0,0,1,1,0,0,1,0,1,0,1,1,0
152,9,76,25114.38,9.473029,3.493433,882.4522754,1,0,0,0,1,0,0,0,1,0,1,0,0
1231,1,40,48168.63,6.238718,62.71297,5878.97721,0,1,0,1,0,0,0,1,0,0,1,0,0
497,1,30,74373.82,9.896211,4.225661,693.5913883,1,0,0,1,0,0,1,0,1,0,1,1,1
2831,3,52,13933.32,10.77203,60.57969,5228.606985,0,1,0,1,0,0,0,0,1,0,0,1,1
541,2,78,32498.09,15.59122,16.64412,1333.45659,0,1,0,1,0,0,0,0,1,0,0,0,1
50992,7,20,48323.96,11.00542,62.82563,5718.653054,1,0,0,0,1,0,0,0,1,0,0,1,0
49657,8,37,40132.21,16.10566,67.78257,6335.816115,0,1,0,0,1,0,0,0,0,1,1,1,1
1253,1,34,27450.8,9.403453,8.681614,1501.794265,1,0,0,1,0,0,0,0,1,0,0,1,0
430,1,35,52728.01,9.491553,4.767276,1045.602146,0,0,1,1,0,0,1,1,0,0,1,0,0
1176,2,25,78059.33,6.165032,9.040057,1380.469032,0,1,0,0,1,0,0,0,1,0,0,1,1
21556,8,73,72734.86,9.596264,3.843142,1349.319824,1,0,0,1,0,0,0,1,0,0,0,1,1
103,2,55,76763.34,14.62487,18.76373,2143.189724,0,0,1,1,0,0,0,1,0,0,1,0,1
1118,2,57,42090.01,10.70759,63.4041,5389.076144,1,0,0,1,0,0,0,0,0,1,0,0,0
13549,3,32,26473.71,10.89250998,10.44223446,1257.976073,1,0,0,1,0,0,0,0,1,0,1,1,1
9852,0,48,65583.82,16.97035,67.09561,6098.13029,1,0,0,0,1,0,0,0,0,1,0,0,0
3034,4,58,47620.86,7.80176,46.23103,4194.479859,0,1,0,0,1,0,1,0,1,0,1,0,0
678,1,74,14396.37,10.78419,65.2908,5616.608151,1,0,0,0,1,0,0,0,0,1,1,0,1
865,1,32,67354.4,6.965079,17.91527,2281.632997,0,0,1,0,1,0,0,1,0,0,1,0,0
1565,3,23,17306.82,6.847776,9.05316,1284.333326,0,1,0,1,0,0,0,0,0,1,1,0,1
932,0,33,66392.52,13.66391306,5.31868521,1070.978131,0,1,0,0,1,0,0,0,0,1,0,0,1
206,3,27,84597.17,8.407938599,9.324505434,1266.19109,1,0,0,1,0,0,1,0,1,0,0,1,0
437,0,87,52838.06,12.66209,54.42917,4491.178233,1,0,0,1,0,0,1,0,1,0,1,1,0
13365,0,26,37297.82,3.767298987,10.01771765,1261.177198,1,0,0,1,0,0,0,0,1,0,1,0,1
5012,0,47,42617.19,8.850749,65.44764,5466.37029,0,0,1,1,0,0,0,0,0,1,0,0,1
1283,5,75,40402.71,6.136428,12.359,1827.076857,1,0,0,0,1,0,0,1,0,0,1,1,0
2889,6,62,50627.61,10.70655,47.23415,4841.832156,1,0,0,0,1,0,1,0,0,1,1,1,0
9155,0,69,69369.55,8.272683,64.95453,5777.625223,1,0,0,1,0,0,0,0,1,0,1,1,0
6917,4,42,6790.51,11.00941,60.53871,5267.174112,0,1,0,0,1,0,0,0,1,0,0,0,1
20586,1,65,47738.37,11.284594,5.991017375,961.1315871,0,1,0,0,1,0,1,0,1,0,1,1,0
715,1,80,63095.62,10.88047174,14.14101821,2335.130986,0,1,0,0,1,0,1,1,0,0,1,1,1
11540,3,32,28696.57,10.26758,67.24986,5811.49739,1,0,0,0,1,0,0,0,1,0,1,0,0
402,0,70,30593.51,6.002354266,1.235589507,296.9963678,0,1,0,0,1,0,1,0,0,1,0,1,1
879,1,45,7071.85,11.68162,67.2599,6210.252604,1,0,0,0,1,0,1,1,0,0,0,0,0
15171,10,76,35954.77,13.71555406,3.237560234,819.4195269,0,1,0,0,1,0,0,0,0,1,0,0,0
2138,0,47,49662.82,12.33405,31.81602,2977.360531,1,0,0,1,0,0,0,0,0,1,0,0,0
393,0,67,21294.02,2.478941,64.7292,5652.192603,0,0,1,0,1,0,0,0,1,0,1,1,0
14580,3,52,63089.7,8.048411,9.349363,1512.125761,1,0,0,0,1,0,0,0,1,0,0,1,0
1691,1,26,23028.48,6.007630739,5.505247606,1339.709597,1,0,0,1,0,0,0,0,0,1,1,1,0
38932,0,58,9352.62,13.19755,19.75809,2006.106282,1,0,0,1,0,0,0,1,0,0,0,0,1
1399,3,88,57580.18,7.378299,56.88725,5445.967827,0,0,1,0,1,0,0,1,0,0,1,0,0
0,2,49,65891.79,5.259228749,4.753020774,1608.852045,0,0,1,0,1,0,0,1,0,0,1,0,0
6295,8,22,7434.02,14.35718,21.12911,3186.79335,1,0,0,1,0,0,0,1,0,0,1,1,0
37639,4,78,35738.68,7.875203,7.735821,1003.915085,0,0,1,1,0,0,0,0,1,0,0,1,1
22059,3,35,13706.02,6.259093,47.77439,4696.771589,0,1,0,1,0,0,0,1,0,0,1,0,0
36172,1,23,8626.93,13.16243,8.333131,1187.710162,1,0,0,0,1,0,0,0,1,0,1,0,0
285,0,82,19329.4,6.945119,47.60481,4546.718887,1,0,0,0,1,0,0,0,1,0,1,1,0
5993,3,77,22342.54,9.714093,14.84017,1604.504838,1,0,0,0,1,0,1,0,0,1,1,0,0
8324,3,64,21607.29,10.69966,62.43987,5469.381433,0,1,0,1,0,0,1,0,1,0,1,0,1
1956,1,50,7369.88,9.298875,56.24647,5086.304493,1,0,0,1,0,0,0,0,1,0,1,1,1
1692,1,22,17241.1,9.959938,16.42222,1962.047024,0,1,0,0,1,0,0,0,1,0,1,1,1
260,1,62,35176.64,12.05975,70.82444,6551.009938,1,0,0,1,0,0,0,1,0,0,1,0,1
2564,2,41,52050.69,11.79444395,10.01241216,1615.418802,0,1,0,1,0,0,0,0,1,0,1,1,0
3579,1,22,43646.08,8.257424,65.36253,5652.969841,1,0,0,1,0,0,0,0,0,1,0,1,0
3821,6,85,16280.67,11.63652,61.43691,5436.403424,1,0,0,0,1,0,0,0,1,0,0,0,0
1856,2,37,8408.2,9.40182,2.687062,490.2102038,0,0,1,1,0,0,1,0,1,0,1,0,1
2041,2,43,3949.33,13.98169147,5.810822315,631.4316327,0,0,1,1,0,0,1,0,0,1,0,0,0
8397,6,82,48976.94,7.558605,42.68533,4073.021384,0,0,1,0,1,0,0,1,0,0,0,0,1
43123,1,48,82629.53,9.816712399,12.92578188,1333.179191,1,0,0,1,0,0,0,0,1,0,1,0,0
121,4,65,50199.18,11.01658,51.45585,4442.819177,0,0,1,1,0,0,0,0,0,1,1,1,0
1693,3,44,68269.35,12.54175,11.4255,1452.597026,0,0,1,0,1,0,0,0,1,0,1,0,0
312,0,21,49614.23,6.244054,3.033303,911.2594992,1,0,0,0,1,0,0,1,0,0,1,0,1
21743,4,84,31430.08,10.62065,64.67817,5621.654767,0,1,0,0,1,0,0,0,0,1,1,0,0
1166,1,52,64756.4,10.377,70.24032,5847.100806,0,1,0,1,0,0,0,0,1,0,1,0,0
2688,0,34,71603.66,13.82562816,8.831489129,1185.69317,0,0,1,1,0,0,0,0,0,1,0,1,0
5760,3,54,47507.3,4.368120492,7.980015371,822.6771666,0,1,0,1,0,0,0,0,1,0,0,0,0
16665,1,44,26040.67,12.19992,21.06329,1932.26875,0,0,1,1,0,0,0,0,1,0,0,1,0
1868,0,83,54073.62,11.16039,61.33997,5270.685618,0,1,0,1,0,0,1,0,1,0,1,1,1
25052,2,21,32849.77,6.618072,8.66647,1094.644005,1,0,0,1,0,0,0,0,1,0,1,1,0
57511,1,76,10589.74,7.892007202,8.908332009,982.2094626,0,0,1,1,0,0,0,0,1,0,1,0,1
31102,2,77,54548.92,9.987264,60.87582,5536.195731,0,1,0,0,1,0,0,0,1,0,0,0,0
2408,3,31,34132.82,9.622636,1.786765,1318.882817,0,1,0,1,0,0,0,1,0,0,1,0,1
413,1,25,40583.58,7.543264,65.02015,6076.679824,1,0,0,1,0,0,1,0,0,1,0,1,1
3381,0,55,44493.49,13.88702214,3.293435643,586.7422583,0,1,0,0,1,0,0,0,1,0,1,1,1
2889,1,35,10149.33,14.07829,49.91708,4620.120318,1,0,0,1,0,0,1,0,0,1,0,1,1
526,4,57,15059.8,13.68702,55.90619,5299.821269,1,0,0,1,0,0,0,0,1,0,1,0,0
2845,0,63,34127.24,13.31608,7.296904,1343.619348,0,0,1,1,0,0,0,1,0,0,0,1,1
2998,6,36,52232.97,8.359515606,2.905283283,558.2340556,1,0,0,1,0,0,0,0,0,1,0,0,0
11173,4,70,18608.64,7.364011,14.89363,1520.458929,0,1,0,0,1,0,0,0,0,1,0,1,1
212,0,36,35138.0,7.678053,61.70653,5351.253775,0,0,1,1,0,0,0,0,0,1,0,0,0
19146,2,78,43747.73,11.47664,66.91612,5863.402923,0,0,1,1,0,0,0,0,0,1,1,1,1
1704,1,23,78118.48,8.47218,2.942297,762.6142063,0,0,1,0,1,0,0,0,1,0,0,1,1
25907,0,58,23107.22,5.546944946,2.811977672,911.3769495,0,0,1,1,0,0,1,0,1,0,0,1,0
265,3,42,29552.09,8.484285,68.78714,6246.215724,0,1,0,0,1,0,0,1,0,0,0,0,0
142,0,25,89524.54,10.8180306,2.111376258,662.6103493,0,0,1,0,1,0,0,0,0,1,0,0,0
13077,3,33,41130.54,10.38794,14.91353,1806.936325,1,0,0,1,0,0,0,0,0,1,1,0,1
2216,0,78,14281.24,13.14435,50.09799,4582.182243,0,0,1,0,1,0,0,0,1,0,1,1,1
3160,1,68,53952.59,11.02404,11.71454,1757.837077,0,0,1,0,1,0,0,0,1,0,1,1,0
1624,2,47,18435.57,14.21641,69.35321,6553.155711,0,1,0,0,1,0,0,1,0,0,1,0,0
29,2,72,43738.55,10.07197012,4.945014197,792.520824,1,0,0,0,1,0,0,0,1,0,0,1,0
34390,1,25,32555.42,12.89791,12.9557,1894.547126,0,1,0,1,0,0,0,1,0,0,1,0,1
255,3,76,62939.99,8.593968,62.96952,5476.19566,0,1,0,0,1,0,1,0,1,0,1,0,0
8225,0,83,23567.27,8.758616,5.447689,885.0263451,0,0,1,1,0,0,0,0,1,0,0,0,0
15062,1,67,30806.08,7.690569,6.233177,988.8476688,0,1,0,1,0,0,0,1,0,0,0,0,0
5157,3,52,63289.55,5.566561,6.324505,842.4625146,0,0,1,0,1,0,0,0,0,1,0,0,0
23746,1,21,37709.27,13.64684,57.3396,5648.31533,0,0,1,1,0,0,0,1,0,0,1,1,1
21628,3,43,22872.44,9.411937,56.46532,5469.097733,1,0,0,0,1,0,1,1,0,0,0,0,0
1341,0,77,36121.33,8.397331803,1.815836226,369.7619068,1,0,0,0,1,0,0,0,1,0,1,0,0
0,2,62,28435.83,9.41977,13.12966,1832.163914,1,0,0,0,0,1,0,1,0,0,0,0,0
511,3,40,66746.67,9.889878,57.5331,5656.931032,0,1,0,0,1,0,0,1,0,0,1,1,0
1303,1,78,13715.57,10.00211,8.761313,1549.953908,1,0,0,0,1,0,0,1,0,0,1,0,0
10727,0,72,27058.36,7.88648,71.99132,6840.191109,0,0,1,1,0,0,0,1,0,0,1,0,0
3650,3,76,7677.29,13.15317,17.1248,1910.19173,1,0,0,0,1,0,0,0,1,0,0,0,0
1404,5,60,3728.27,10.10623,71.20279,6622.410472,1,0,0,1,0,0,1,1,0,0,0,0,1
884,4,42,41831.89,13.45145,11.21368,1819.192603,0,1,0,0,1,0,0,0,0,1,1,1,0
3481,3,42,65893.07,11.33648,51.426,4750.441086,1,0,0,0,0,1,1,0,1,0,0,0,1
259,0,57,4547.32,9.775597,61.45515,5486.72348,0,0,1,0,1,0,0,0,1,0,1,1,1
0,0,57,32436.4,11.34598,67.5234,6073.6103,0,1,0,0,1,0,0,0,1,0,1,1,0
823,1,32,27492.15,10.04509,15.15905,1654.594685,0,0,1,0,1,0,0,0,1,0,0,1,0
6935,2,80,65502.64,11.31872,66.13697,5739.667361,0,0,1,1,0,0,1,0,0,1,1,0,0
531,1,33,24629.69,7.649459,63.60301,6329.040598,0,0,1,1,0,0,0,1,0,0,0,1,1
1339,2,67,46336.84,8.760632,6.483314,684.120914,0,0,1,1,0,0,0,0,1,0,1,0,1
471,1,44,29579.69,4.708283677,10.16298067,1204.39272,0,1,0,1,0,0,0,0,1,0,1,0,0
1193,10,78,29765.16,9.662081,4.761845,1290.636519,0,0,1,1,0,0,0,1,0,0,0,0,1
11631,8,86,81116.14,7.295808186,17.68782231,1976.347042,0,0,1,0,1,0,0,0,0,1,0,1,0
1428,1,35,58175.44,10.70375,64.87699,5807.811165,0,1,0,0,1,0,1,0,1,0,0,0,1
1154,1,75,31822.26,12.42338,64.81364,5571.868167,0,1,0,1,0,0,0,0,1,0,1,1,0
10025,10,32,6958.83,7.524691972,28.79864005,3143.245184,0,0,1,0,1,0,1,0,1,0,0,1,0
444,0,34,41081.57,9.776467,67.93803,6646.927545,0,1,0,1,0,0,1,1,0,0,1,1,1
1997,2,73,37027.19,7.133502,57.39587,5012.390451,0,0,1,0,1,0,0,0,0,1,1,0,1
2349,4,72,82818.2,8.884019,12.53901,1642.266752,0,0,1,0,1,0,0,0,1,0,1,1,0
447,1,43,33465.9,11.64064,71.78213,6339.798083,1,0,0,0,1,0,0,0,0,1,1,0,0
249,0,27,23589.3,10.77653,68.06711,6469.664211,1,0,0,0,1,0,0,1,0,0,1,0,0
21314,3,61,7418.73,8.417611,5.525134,1288.15613,0,1,0,1,0,0,0,0,1,0,1,1,0
6923,6,53,68939.17,11.27782,57.6618,5960.117505,0,1,0,0,1,0,0,1,0,0,1,0,0
8851,0,28,13366.53,4.705946,15.54856,1835.681416,1,0,0,0,1,0,0,0,1,0,1,1,0
9718,6,89,90596.15,7.899801255,7.245906912,879.9008247,0,0,1,0,1,0,0,0,1,0,1,0,1
5491,1,74,30439.25,10.41218,59.01705,5524.916473,1,0,0,0,1,0,0,1,0,0,0,1,0
1310,0,27,85712.06,9.18135,1.426775,756.1541962,0,0,1,0,1,0,1,0,1,0,1,1,0
85,0,47,25331.3,8.194610203,11.41238102,1511.115195,1,0,0,1,0,0,0,1,0,0,1,1,0
2090,1,77,32149.05,9.751665909,4.905988692,738.8929143,0,1,0,0,1,0,0,0,1,0,1,1,0
1076,0,26,32652.3,7.410590719,11.71637124,1805.011298,0,0,1,1,0,0,1,1,0,0,1,1,1
109,4,20,76136.04,12.1663565,8.932053699,1197.180331,1,0,0,0,1,0,0,0,1,0,1,0,0
4634,0,81,58049.87,12.01958,1.835564,387.3140839,1,0,0,1,0,0,0,0,1,0,1,0,0
12577,0,22,80295.4,13.35703,57.27176,5583.623978,0,1,0,0,1,0,1,1,0,0,1,0,0
23021,2,37,19872.48,9.445157,56.31481,5401.877883,1,0,0,0,1,0,0,0,1,0,0,1,1
163,3,41,46184.74,15.47722,61.85639,5332.977438,0,1,0,1,0,0,0,0,1,0,1,0,0
87,0,24,11566.91,6.888013,57.31571,5009.452903,1,0,0,1,0,0,0,0,1,0,1,1,0
9692,1,63,43369.94,8.7759,5.119045,645.1544646,0,1,0,0,1,0,1,0,1,0,0,0,0
33380,2,23,47956.52,7.709204,11.63009,1687.100467,0,0,1,0,0,1,0,0,1,0,1,0,1
15075,0,70,3439.92,13.91435,65.39241,5602.940401,0,1,0,0,1,0,0,0,0,1,1,0,0
30762,10,88,1469.25,6.91129,39.27244,4046.188443,0,0,1,1,0,0,0,1,0,0,1,0,1
21095,0,81,8669.16,15.32731181,3.61323465,804.3790601,1,0,0,1,0,0,0,0,1,0,1,1,0
2801,4,87,38556.54,6.464421,63.40077,5922.604676,0,1,0,1,0,0,0,1,0,0,1,1,0
3185,2,58,99537.72,8.301006,61.96895,5474.602288,0,0,1,1,0,0,1,0,1,0,1,0,1
31860,1,46,32123.33,11.32285,54.26701,5157.491329,1,0,0,1,0,0,0,1,0,0,0,0,1
3531,2,40,74381.07,15.15657239,2.179548523,1211.247766,1,0,0,1,0,0,0,1,0,0,1,0,0
3060,6,18,44455.34,10.0165,71.91339,6957.206381,0,0,1,1,0,0,1,1,0,0,1,0,1
